date,open,high,low,close,volume,Name
2017-05-31,2.61,2.63,2.53,2.54,2636700,ASTRO
2017-06-01,2.55,2.60,2.54,2.60,2398400,ASTRO
2017-06-02,2.62,2.62,2.58,2.61,2238800,ASTRO
2017-06-05,2.59,2.61,2.55,2.55,1619400,ASTRO
2017-06-06,2.56,2.58,2.55,2.57,408200,ASTRO
2017-06-07,2.57,2.61,2.56,2.58,2009300,ASTRO
2017-06-08,2.59,2.59,2.56,2.56,966200,ASTRO
2017-06-09,2.55,2.57,2.51,2.52,1778900,ASTRO
2017-06-13,2.54,2.57,2.52,2.55,2012000,ASTRO
2017-06-14,2.56,2.70,2.56,2.70,6905300,ASTRO
2017-06-15,2.66,2.69,2.66,2.68,2561600,ASTRO
2017-06-16,2.68,2.70,2.65,2.65,3521400,ASTRO
2017-06-19,2.69,2.72,2.67,2.72,4832900,ASTRO
2017-06-20,2.72,2.72,2.67,2.69,1415200,ASTRO
2017-06-21,2.70,2.70,2.65,2.67,1787900,ASTRO
2017-06-22,2.65,2.66,2.63,2.63,717900,ASTRO
2017-06-23,2.68,2.68,2.64,2.65,772300,ASTRO
2017-06-26,2.65,2.65,2.65,2.65,0,ASTRO
2017-06-27,2.65,2.65,2.65,2.65,0,ASTRO
2017-06-28,2.69,2.69,2.58,2.59,3324400,ASTRO
2017-06-29,2.59,2.63,2.57,2.63,850400,ASTRO
2017-06-30,2.59,2.59,2.53,2.53,2246800,ASTRO
2017-07-03,2.55,2.60,2.53,2.59,920300,ASTRO
2017-07-04,2.59,2.59,2.51,2.54,2485400,ASTRO
2017-07-05,2.54,2.60,2.54,2.60,1504400,ASTRO
2017-07-06,2.60,2.60,2.55,2.58,1711400,ASTRO
2017-07-07,2.57,2.58,2.55,2.56,792200,ASTRO
2017-07-10,2.56,2.56,2.52,2.53,732600,ASTRO
2017-07-11,2.55,2.56,2.52,2.55,690400,ASTRO
2017-07-12,2.53,2.60,2.53,2.60,939000,ASTRO
2017-07-13,2.60,2.60,2.55,2.58,2317100,ASTRO
2017-07-14,2.58,2.59,2.54,2.56,1224200,ASTRO
2017-07-17,2.57,2.60,2.53,2.53,1349900,ASTRO
2017-07-18,2.53,2.56,2.52,2.55,1801100,ASTRO
2017-07-19,2.55,2.57,2.55,2.56,1711400,ASTRO
2017-07-20,2.58,2.58,2.53,2.53,497800,ASTRO
2017-07-21,2.53,2.54,2.47,2.48,4880200,ASTRO
2017-07-24,2.49,2.57,2.48,2.57,1485100,ASTRO
2017-07-25,2.53,2.54,2.52,2.53,2372000,ASTRO
2017-07-26,2.57,2.57,2.53,2.55,3704800,ASTRO
2017-07-27,2.55,2.55,2.48,2.50,4463800,ASTRO
2017-07-28,2.50,2.55,2.50,2.54,4917700,ASTRO
2017-07-31,2.54,2.58,2.54,2.58,2548900,ASTRO
2017-08-01,2.59,2.61,2.57,2.60,3113500,ASTRO
2017-08-02,2.62,2.62,2.60,2.61,1706500,ASTRO
2017-08-03,2.60,2.63,2.60,2.62,1931400,ASTRO
2017-08-04,2.65,2.65,2.62,2.65,1355500,ASTRO
2017-08-07,2.66,2.66,2.60,2.63,2149800,ASTRO
2017-08-08,2.64,2.65,2.62,2.65,1891900,ASTRO
2017-08-09,2.65,2.66,2.62,2.66,1830800,ASTRO
2017-08-10,2.66,2.67,2.65,2.66,2453900,ASTRO
2017-08-11,2.65,2.67,2.62,2.67,1207100,ASTRO
2017-08-14,2.67,2.68,2.64,2.67,2405900,ASTRO
2017-08-15,2.64,2.69,2.64,2.69,1282400,ASTRO
2017-08-16,2.64,2.69,2.64,2.67,3288000,ASTRO
2017-08-17,2.65,2.67,2.61,2.62,1970100,ASTRO
2017-08-18,2.62,2.67,2.62,2.66,1370100,ASTRO
2017-08-21,2.62,2.68,2.62,2.67,972100,ASTRO
2017-08-22,2.64,2.67,2.63,2.66,2592100,ASTRO
2017-08-23,2.65,2.66,2.62,2.66,277500,ASTRO
2017-08-24,2.68,2.68,2.63,2.66,1924200,ASTRO
2017-08-25,2.66,2.67,2.63,2.66,1996600,ASTRO
2017-08-28,2.66,2.69,2.64,2.69,877600,ASTRO
2017-08-29,2.69,2.69,2.64,2.68,686000,ASTRO
2017-08-30,2.69,2.69,2.65,2.68,1013500,ASTRO
2017-08-31,2.68,2.68,2.68,2.68,0,ASTRO
2017-09-01,2.68,2.68,2.68,2.68,0,ASTRO
2017-09-04,2.68,2.68,2.68,2.68,0,ASTRO
2017-09-05,2.63,2.65,2.60,2.64,2124000,ASTRO
2017-09-06,2.61,2.65,2.61,2.63,1074500,ASTRO
2017-09-07,2.65,2.70,2.61,2.70,5083700,ASTRO
2017-09-08,2.70,2.70,2.65,2.68,1306500,ASTRO
2017-09-11,2.65,2.72,2.65,2.70,3209900,ASTRO
2017-09-12,2.70,2.72,2.68,2.71,2289500,ASTRO
2017-09-13,2.71,2.71,2.65,2.68,1019600,ASTRO
2017-09-14,2.66,2.67,2.63,2.63,818300,ASTRO
2017-09-15,2.67,2.74,2.67,2.71,10112400,ASTRO
2017-09-18,2.74,2.74,2.68,2.71,1834700,ASTRO
2017-09-19,2.72,2.74,2.71,2.71,1084600,ASTRO
2017-09-20,2.70,2.73,2.69,2.72,1068800,ASTRO
2017-09-21,2.72,2.75,2.70,2.75,1291000,ASTRO
2017-09-22,2.75,2.75,2.75,2.75,0,ASTRO
2017-09-25,2.75,2.81,2.74,2.81,2538100,ASTRO
2017-09-26,2.80,2.83,2.80,2.82,1697900,ASTRO
2017-09-27,2.83,2.85,2.79,2.84,4867400,ASTRO
2017-09-28,2.84,2.85,2.74,2.74,4934400,ASTRO
2017-09-29,2.73,2.82,2.72,2.82,3652600,ASTRO
2017-10-02,2.81,2.83,2.77,2.83,1495000,ASTRO
2017-10-03,2.78,2.83,2.78,2.80,2622100,ASTRO
2017-10-04,2.81,2.82,2.79,2.81,1310000,ASTRO
2017-10-05,2.78,2.83,2.78,2.83,1433800,ASTRO
2017-10-06,2.80,2.85,2.80,2.85,4572600,ASTRO
2017-10-09,2.83,2.85,2.80,2.85,2507500,ASTRO
2017-10-10,2.85,2.87,2.82,2.86,1409600,ASTRO
2017-10-11,2.86,2.86,2.80,2.83,1696600,ASTRO
2017-10-12,2.83,2.86,2.81,2.82,1756300,ASTRO
2017-10-13,2.83,2.83,2.79,2.82,1853700,ASTRO
2017-10-16,2.80,2.82,2.77,2.78,1373700,ASTRO
2017-10-17,2.79,2.81,2.78,2.80,1940600,ASTRO
2017-10-18,2.80,2.80,2.80,2.80,0,ASTRO
2017-10-19,2.80,2.82,2.78,2.78,1273900,ASTRO
2017-10-20,2.80,2.80,2.77,2.77,3017500,ASTRO
2017-10-23,2.79,2.81,2.76,2.81,1088600,ASTRO
2017-10-24,2.80,2.82,2.79,2.79,3541300,ASTRO
2017-10-25,2.80,2.86,2.78,2.84,5339800,ASTRO
2017-10-26,2.84,2.94,2.83,2.84,4090800,ASTRO
2017-10-27,2.80,2.88,2.80,2.85,2775900,ASTRO
2017-10-30,2.90,2.90,2.81,2.82,878500,ASTRO
2017-10-31,2.82,2.84,2.81,2.81,1771300,ASTRO
2017-11-01,2.82,2.84,2.79,2.81,963700,ASTRO
2017-11-02,2.83,2.84,2.77,2.78,1007400,ASTRO
2017-11-03,2.82,2.82,2.78,2.80,1060200,ASTRO
2017-11-06,2.83,2.83,2.79,2.81,1602700,ASTRO
2017-11-07,2.80,2.81,2.79,2.80,1213200,ASTRO
2017-11-08,2.80,2.82,2.75,2.80,1939000,ASTRO
2017-11-09,2.79,2.81,2.74,2.78,1321300,ASTRO
2017-11-10,2.78,2.82,2.78,2.82,3549000,ASTRO
2017-11-13,2.81,2.82,2.76,2.77,1898800,ASTRO
2017-11-14,2.78,2.82,2.74,2.75,1196100,ASTRO
2017-11-15,2.75,2.82,2.75,2.78,2740600,ASTRO
2017-11-16,2.80,2.80,2.72,2.75,2139800,ASTRO
2017-11-17,2.75,2.79,2.73,2.76,1611500,ASTRO
2017-11-20,2.76,2.77,2.70,2.73,1364700,ASTRO
2017-11-21,2.71,2.75,2.68,2.70,2952000,ASTRO
