date,open,high,low,close,volume,Name 
2017-05-31,5.1,5.13,5.05,5.08,9128400,AXIATA
2017-06-01,5.02,5.07,4.83,4.85,8552900,AXIATA
2017-06-02,4.87,4.95,4.83,4.94,6009900,AXIATA
2017-06-05,4.94,5,4.94,4.99,5568000,AXIATA
2017-06-06,4.99,5.02,4.9,5,3392200,AXIATA
2017-06-07,4.93,5.05,4.93,5.02,1588900,AXIATA
2017-06-08,5,5.03,4.99,5,4566700,AXIATA
2017-06-09,4.95,5,4.95,4.97,3601700,AXIATA
2017-06-13,4.98,5,4.96,4.98,5044400,AXIATA
2017-06-14,4.95,5.05,4.93,4.98,5130900,AXIATA
2017-06-15,4.98,5,4.93,4.97,4112600,AXIATA
2017-06-16,4.98,5.03,4.94,4.99,9011200,AXIATA
2017-06-19,4.99,5.07,4.99,5.07,4816800,AXIATA
2017-06-20,5.07,5.1,5,5.02,4224500,AXIATA
2017-06-21,5,5.03,4.94,4.98,5500500,AXIATA
2017-06-22,4.95,4.98,4.92,4.94,3416400,AXIATA
2017-06-23,4.96,4.97,4.89,4.94,4217800,AXIATA
2017-06-26,4.91,4.91,4.91,4.91,0,AXIATA
2017-06-27,4.91,4.91,4.91,4.91,0,AXIATA
2017-06-28,4.91,4.99,4.86,4.91,5298900,AXIATA
2017-06-29,4.9,4.95,4.88,4.88,4653900,AXIATA
2017-06-30,4.87,4.89,4.8,4.83,8128300,AXIATA
2017-07-03,4.83,4.85,4.74,4.8,3164500,AXIATA
2017-07-04,4.8,4.81,4.75,4.77,4660700,AXIATA
2017-07-05,4.77,4.79,4.73,4.76,3890200,AXIATA
2017-07-06,4.76,4.79,4.74,4.79,1941700,AXIATA
2017-07-07,4.8,4.8,4.69,4.7,4259200,AXIATA
2017-07-10,4.69,4.71,4.66,4.69,5433200,AXIATA
2017-07-11,4.69,4.77,4.62,4.64,5545700,AXIATA
2017-07-12,4.64,4.87,4.6,4.87,3766400,AXIATA
2017-07-13,4.78,4.8,4.63,4.63,7941000,AXIATA
2017-07-14,4.64,4.64,4.54,4.6,6393500,AXIATA
2017-07-17,4.61,4.65,4.59,4.64,5305600,AXIATA
2017-07-18,4.65,4.66,4.62,4.65,1483400,AXIATA
2017-07-19,4.64,4.69,4.63,4.68,2897200,AXIATA
2017-07-20,4.69,4.76,4.67,4.73,3945800,AXIATA
2017-07-21,4.73,4.76,4.68,4.72,7118400,AXIATA
2017-07-24,4.72,4.75,4.66,4.69,3375200,AXIATA
2017-07-25,4.7,4.71,4.65,4.71,1312100,AXIATA
2017-07-26,4.7,4.7,4.67,4.69,1274500,AXIATA
2017-07-27,4.68,4.7,4.66,4.69,783200,AXIATA
2017-07-28,4.68,4.68,4.6,4.63,3744700,AXIATA
2017-07-31,4.63,4.64,4.6,4.63,4402800,AXIATA
2017-08-01,4.65,4.67,4.63,4.66,1997000,AXIATA
2017-08-02,4.69,4.73,4.66,4.69,2664100,AXIATA
2017-08-03,4.7,4.8,4.7,4.8,3693100,AXIATA
