date,open,high,low,close,volume,Name
2017-05-31,7.093333,7.32,7.08,7.2,2629650,A
2017-06-01,7.253333,7.333333,7.213333,7.266666,1625550,A
2017-06-02,7.333333,7.426666,7.32,7.373333,1602000,A
2017-06-05,7.373333,7.373333,7.293333,7.293333,853950,A
2017-06-06,7.333333,7.333333,7.28,7.293333,664050,A
2017-06-07,7.28,7.28,7.12,7.133333,769350,A
2017-06-08,7.093333,7.093333,6.853333,6.96,3053100,A
2017-06-09,6.933333,7.013333,6.84,7.013333,2208750,A
2017-06-13,6.973333,7.04,6.92,6.986666,1466550,A
2017-06-14,7.013333,7.026666,6.986666,6.986666,1896750,A
2017-06-15,6.986666,7,6.946666,6.986666,1772100,A
2017-06-16,6.946666,7.013333,6.946666,6.986666,1110600,A
2017-06-19,6.986666,6.986666,6.893333,6.906666,2653500,A
2017-06-20,6.906666,6.92,6.893333,6.906666,1659000,A
2017-06-21,6.986666,6.986666,6.906666,6.92,1226550,A
2017-06-22,6.986666,6.986666,6.893333,6.92,714750,A
2017-06-23,6.906666,6.96,6.88,6.946666,927600,A
2017-06-26,6.933333,6.933333,6.933333,6.933333,0,A
2017-06-27,6.933333,6.933333,6.933333,6.933333,0,A
2017-06-28,7,7.026666,6.88,6.96,570000,A
2017-06-29,6.96,7.013333,6.946666,6.986666,138150,A
2017-06-30,6.96,7.066666,6.96,7.066666,482550,A
2017-07-03,7.04,7.066666,7.013333,7.026666,1078350,A
2017-07-04,7.04,7.053333,7.026666,7.053333,459000,A
2017-07-05,7.066666,7.066666,6.96,6.986666,907500,A
2017-07-06,7.013333,7.2,6.986666,7.2,334050,A
2017-07-07,7.093333,7.093333,6.946666,7,528000,A
2017-07-10,6.946666,7,6.946666,7,362250,A
2017-07-11,6.946666,6.973333,6.906666,6.92,3625350,A
2017-07-12,6.92,6.973333,6.92,6.933333,2196750,A
2017-07-13,6.946666,6.973333,6.853333,6.853333,1939650,A
2017-07-14,6.853333,6.92,6.84,6.853333,1966500,A
2017-07-17,6.906666,6.906666,6.733333,6.786666,3360000,A
2017-07-18,6.866666,6.866666,6.746666,6.746666,2448750,A
2017-07-19,6.746666,6.76,6.646666,6.666666,1424250,A
2017-07-20,6.68,6.76,6.68,6.72,2522700,A
2017-07-21,6.733333,6.746666,6.706666,6.746666,1930200,A
2017-07-24,6.72,6.786666,6.68,6.786666,807450,A
2017-07-25,6.76,6.866666,6.706666,6.826666,1881150,A
2017-07-26,6.826666,7.053333,6.826666,7,1171800,A
2017-07-27,7,7.133333,7,7.066666,965100,A
2017-07-28,7.12,7.173333,7.04,7.08,643800,A
2017-07-31,7.08,7.106666,6.906666,6.906666,1017450,A
2017-08-01,6.933333,6.946666,6.893333,6.92,1662000,A
2017-08-02,6.906666,7.053333,6.906666,7.053333,994650,A
2017-08-03,7.013333,7.066666,6.96,7.053333,950100,A
2017-08-04,7.066666,7.066666,6.973333,7.053333,522000,A
2017-08-07,7,7.066666,7,7.026666,779700,A
2017-08-08,6.826666,6.826666,6.746666,6.786666,1138800,A
2017-08-09,6.813333,6.813333,6.773333,6.8,3223950,A
2017-08-10,6.8,6.813333,6.786666,6.8,2030850,A
2017-08-11,6.8,6.826666,6.693333,6.8,2688300,A
2017-08-14,6.8,6.84,6.733333,6.8,3077550,A
2017-08-15,6.853333,6.853333,6.786666,6.813333,287400,A
2017-08-16,6.8,6.8,6.706666,6.706666,1044300,A
2017-08-17,6.746666,6.8,6.72,6.746666,776250,A
2017-08-18,6.746666,6.853333,6.733333,6.786666,2932800,A
2017-08-21,6.8,6.8,6.746666,6.773333,925650,A
2017-08-22,6.8,6.826666,6.786666,6.8,2375850,A
2017-08-23,6.76,6.813333,6.746666,6.8,1574250,A
2017-08-24,6.786666,6.786666,6.72,6.733333,1951050,A
2017-08-25,6.76,6.76,6.733333,6.746666,1342050,A
2017-08-28,6.733333,6.8,6.733333,6.8,962250,A
2017-08-29,6.76,6.8,6.76,6.76,42750,A
2017-08-30,6.76,6.853333,6.733333,6.773333,325800,A
2017-08-31,6.773333,6.773333,6.773333,6.773333,0,A
2017-09-01,6.773333,6.773333,6.773333,6.773333,0,A
2017-09-04,6.773333,6.773333,6.773333,6.773333,0,A
2017-09-05,6.866666,6.866666,6.433333,6.573333,2335350,A
2017-09-06,6.533333,6.666666,6.5,6.666666,1210050,A
2017-09-07,6.666666,6.946666,6.666666,6.946666,1239150,A
2017-09-08,6.906666,6.946666,6.8,6.946666,1090350,A
2017-09-11,6.773333,6.906666,6.693333,6.906666,853350,A
2017-09-12,6.84,6.92,6.786666,6.8,1036200,A
2017-09-13,6.786666,6.826666,6.773333,6.8,2106750,A
2017-09-14,6.786666,6.786666,6.706666,6.733333,872550,A
2017-09-15,6.8,6.8,6.666666,6.72,1385850,A
2017-09-18,6.68,6.746666,6.68,6.72,280500,A
2017-09-19,6.76,6.76,6.68,6.68,861300,A
2017-09-20,6.68,6.693333,6.66,6.66,2095050,A
2017-09-21,6.68,6.68,6.633333,6.653333,695100,A
2017-09-22,6.653333,6.653333,6.653333,6.653333,0,A
2017-09-25,6.666666,6.666666,6.6,6.646666,613800,A
2017-09-26,6.646666,6.646666,6.62,6.633333,2804850,A
2017-09-27,6.633333,6.653333,6.606666,6.633333,1626150,A
2017-09-28,6.653333,6.66,6.6,6.626666,1576950,A
2017-09-29,6.626666,6.666666,6.606666,6.666666,834300,A
2017-10-02,6.66,6.666666,6.62,6.653333,924900,A
2017-10-03,6.666666,6.666666,6.626666,6.653333,1921950,A
2017-10-04,6.666666,6.68,6.653333,6.666666,2455800,A
2017-10-05,6.666666,6.706666,6.666666,6.68,110400,A
2017-10-06,6.666666,6.733333,6.666666,6.733333,141450,A
2017-10-09,6.693333,6.733333,6.693333,6.72,40500,A
2017-10-10,6.733333,6.733333,6.666666,6.693333,78450,A
2017-10-11,6.693333,6.72,6.653333,6.72,1970850,A
2017-10-12,6.706666,6.72,6.646666,6.693333,1767600,A
2017-10-13,6.693333,6.786666,6.593333,6.633333,384450,A
2017-10-16,6.633333,6.746666,6.633333,6.746666,440850,A
2017-10-17,6.733333,6.733333,6.653333,6.666666,362700,A
2017-10-18,6.666666,6.666666,6.666666,6.666666,0,A
2017-10-19,6.733333,6.733333,6.613333,6.666666,557850,A
2017-10-20,6.773333,6.773333,6.5,6.5,2095200,A
2017-10-23,6.58,6.666666,6.58,6.666666,398850,A
2017-10-24,6.693333,6.706666,6.6,6.666666,1811100,A
2017-10-25,6.653333,6.68,6.613333,6.68,229350,A
2017-10-26,6.666666,6.666666,6.62,6.666666,484350,A
2017-10-27,6.666666,6.666666,6.653333,6.66,947700,A
2017-10-30,6.566666,6.666666,6.56,6.666666,521250,A
2017-10-31,6.666666,6.666666,6.6,6.66,852300,A
2017-11-01,6.66,6.66,6.6,6.653333,1287450,A
2017-11-02,6.666666,6.666666,6.653333,6.666666,146700,A
2017-11-03,6.666666,6.68,6.646666,6.666666,1433700,A
2017-11-06,6.666666,6.666666,6.653333,6.666666,109800,A
2017-11-07,6.653333,6.666666,6.613333,6.666666,1021500,A
2017-11-08,6.666666,6.666666,6.54,6.58,1710150,A
2017-11-09,6.586666,6.606666,6.533333,6.566666,1070100,A
2017-11-10,6.573333,6.6,6.566666,6.586666,172200,A
2017-11-13,6.586666,6.64,6.586666,6.626666,16200,A
2017-11-14,6.6,6.653333,6.6,6.633333,615000,A
2017-11-15,6.613333,6.646666,6.573333,6.573333,198300,A
2017-11-16,6.573333,6.573333,6.5,6.546666,865350,A
2017-11-17,6.586666,6.586666,6.513333,6.553333,744150,A
2017-11-20,6.566666,6.566666,6.473333,6.486666,1169550,A
2017-11-21,6.5,6.506666,6.46,6.466666,112350,A
2017-11-22,6.48,6.533333,6.446666,6.533333,613200,A
