date,open,high,low,close,volume,Name
2017-05-31,9.91,9.98,9.87,9.97,7560500,GENTING
2017-06-01,9.94,10,9.86,10,5286800,GENTING
2017-06-02,9.96,10,9.92,9.99,3819200,GENTING
2017-06-05,9.94,9.99,9.89,9.96,2870100,GENTING
2017-06-06,9.98,9.98,9.93,9.95,4960800,GENTING
2017-06-07,9.98,9.98,9.74,9.81,3235500,GENTING
2017-06-08,9.77,9.9,9.75,9.75,2797100,GENTING
2017-06-09,9.77,9.86,9.75,9.76,2332400,GENTING
2017-06-13,9.8,9.81,9.65,9.65,5865000,GENTING
2017-06-14,9.77,9.89,9.73,9.86,3492100,GENTING
2017-06-15,9.86,9.88,9.77,9.83,2937600,GENTING
2017-06-16,9.8,9.84,9.72,9.72,2794900,GENTING
2017-06-19,9.72,9.79,9.72,9.75,1343500,GENTING
2017-06-20,9.72,9.73,9.63,9.64,1419500,GENTING
2017-06-21,9.66,9.69,9.56,9.58,2391800,GENTING
2017-06-22,9.65,9.78,9.64,9.76,2167700,GENTING
2017-06-23,9.78,9.78,9.64,9.72,1362200,GENTING
2017-06-26,9.66,9.66,9.66,9.66,0,GENTING
2017-06-27,9.66,9.66,9.66,9.66,0,GENTING
2017-06-28,9.77,9.77,9.5,9.5,3550500,GENTING
2017-06-29,9.55,9.63,9.49,9.49,1621000,GENTING
2017-06-30,9.5,9.55,9.28,9.41,5499800,GENTING
2017-07-03,9.44,9.47,9.39,9.47,2342500,GENTING
2017-07-04,9.49,9.49,9.33,9.34,3017400,GENTING
2017-07-05,9.35,9.41,9.32,9.38,1602000,GENTING
2017-07-06,9.39,9.41,9.28,9.31,2990500,GENTING
2017-07-07,9.3,9.3,9.16,9.19,2821200,GENTING
2017-07-10,9.21,9.24,8.98,9.03,3603400,GENTING
2017-07-11,9.04,9.11,9,9.08,4474600,GENTING
2017-07-12,9.02,9.19,9.02,9.12,5523600,GENTING
2017-07-13,9.19,9.37,9.13,9.24,4211600,GENTING
2017-07-14,9.25,9.55,9.25,9.55,2807300,GENTING
2017-07-17,9.56,9.65,9.5,9.54,2768700,GENTING
2017-07-18,9.57,9.57,9.36,9.45,1355700,GENTING
2017-07-19,9.45,9.58,9.33,9.34,2942600,GENTING
2017-07-20,9.35,9.55,9.35,9.55,1265800,GENTING
2017-07-21,9.54,9.56,9.45,9.56,1294300,GENTING
2017-07-24,9.52,9.6,9.48,9.51,1441400,GENTING
2017-07-25,9.54,9.65,9.51,9.59,1641000,GENTING
2017-07-26,9.6,9.67,9.57,9.67,789200,GENTING
2017-07-27,9.62,9.74,9.61,9.72,1423600,GENTING
2017-07-28,9.71,9.71,9.61,9.64,2785100,GENTING
2017-07-31,9.66,9.72,9.59,9.72,2605900,GENTING
2017-08-01,9.71,9.72,9.64,9.66,1792900,GENTING
2017-08-02,9.6,9.75,9.6,9.75,1677000,GENTING
2017-08-03,9.75,9.75,9.62,9.75,2906500,GENTING
2017-08-04,9.75,9.75,9.63,9.75,798700,GENTING
2017-08-07,9.78,9.79,9.7,9.76,1652900,GENTING
2017-08-08,9.77,9.8,9.7,9.8,1213100,GENTING
2017-08-09,9.72,9.79,9.72,9.77,1293400,GENTING
2017-08-10,9.75,9.77,9.65,9.7,2021400,GENTING
2017-08-11,9.68,9.73,9.62,9.66,3492300,GENTING
2017-08-14,9.7,9.75,9.63,9.66,1204100,GENTING
