date,open,high,low,close,volume,Name
2017-05-31,14.08,14.34,14,14.02,4897800,HLBANK
2017-06-01,14.02,14.38,14,14.2,5907800,HLBANK
2017-06-02,14.32,14.76,14.3,14.68,3893100,HLBANK
2017-06-05,14.7,15.38,14.7,15.2,2404000,HLBANK
2017-06-06,15.3,15.3,15.18,15.28,2214100,HLBANK
2017-06-07,15.46,15.6,15.22,15.4,3605300,HLBANK
2017-06-08,15.4,15.4,15,15.22,1904300,HLBANK
2017-06-09,15.2,15.28,15.14,15.2,2998900,HLBANK
2017-06-13,15.2,15.4,15.2,15.28,1194500,HLBANK
2017-06-14,15.46,15.74,15.16,15.4,2263200,HLBANK
2017-06-15,15.6,15.64,15.26,15.4,1266400,HLBANK
2017-06-16,15.56,15.7,15.38,15.62,2185400,HLBANK
2017-06-19,15.7,15.7,15.4,15.48,2880600,HLBANK
2017-06-20,15.5,15.5,15.4,15.46,1291100,HLBANK
2017-06-21,15.52,15.52,15.2,15.38,4062400,HLBANK
2017-06-22,15.38,15.42,15.34,15.4,636800,HLBANK
2017-06-23,15.58,15.68,15.48,15.54,2287900,HLBANK
2017-06-26,15.58,15.58,15.58,15.58,0,HLBANK
2017-06-27,15.58,15.58,15.58,15.58,0,HLBANK
2017-06-28,15.8,16.299999,15.8,16,2132800,HLBANK
2017-06-29,15.96,16,15.54,15.7,3038200,HLBANK
2017-06-30,15.66,15.76,15.5,15.66,1884000,HLBANK
2017-07-03,15.6,15.72,15.54,15.66,2082700,HLBANK
2017-07-04,15.82,15.82,15.68,15.74,1304700,HLBANK
2017-07-05,15.64,16.299999,15.62,16.299999,1302700,HLBANK
2017-07-06,16.08,16.1,15.8,16,964800,HLBANK
2017-07-07,16.1,16.1,15.96,16,930700,HLBANK
2017-07-10,16,16.040001,15.74,16,363000,HLBANK
2017-07-11,15.98,15.98,15.82,15.92,975500,HLBANK
2017-07-12,16.1,16.1,15.88,15.9,504100,HLBANK
2017-07-13,16,16,15.82,15.88,1568800,HLBANK
