date,open,high,low,close,volume,Name
2017-05-31,5.77,5.89,5.74,5.79,114318000,IHH
2017-06-01,5.8,5.96,5.78,5.9,7323500,IHH
2017-06-02,5.9,6.05,5.87,6.02,6558500,IHH
2017-06-05,6.02,6.05,5.92,5.99,14057900,IHH
2017-06-06,6.02,6.08,5.95,6.04,11294300,IHH
2017-06-07,6.09,6.09,6.02,6.04,11332900,IHH
2017-06-08,6.04,6.12,6.03,6.08,11587400,IHH
2017-06-09,6.03,6.09,6.03,6.08,8399300,IHH
2017-06-13,6.08,6.08,5.95,6,3814500,IHH
2017-06-14,6,6.06,5.95,6,4199700,IHH
2017-06-15,6.02,6.02,5.96,6,3053200,IHH
2017-06-16,6,6.02,5.97,5.97,4125700,IHH
2017-06-19,5.97,5.99,5.93,5.98,2130200,IHH
2017-06-20,5.98,6,5.96,5.99,2683200,IHH
2017-06-21,5.96,5.98,5.9,5.9,4584800,IHH
2017-06-22,5.91,5.99,5.9,5.99,1828900,IHH
2017-06-23,5.97,6.02,5.9,5.98,1489500,IHH
2017-06-26,5.98,5.98,5.98,5.98,0,IHH
2017-06-27,5.98,5.98,5.98,5.98,0,IHH
2017-06-28,5.99,5.99,5.88,5.92,2148200,IHH
2017-06-29,5.95,5.98,5.93,5.93,1622100,IHH
2017-06-30,5.92,5.92,5.72,5.75,6478000,IHH
2017-07-03,5.78,5.87,5.73,5.85,2448000,IHH
2017-07-04,5.8,5.88,5.79,5.85,2245500,IHH
2017-07-05,5.85,5.96,5.85,5.96,1437800,IHH
2017-07-06,5.89,5.95,5.89,5.94,701200,IHH
2017-07-07,5.96,5.96,5.89,5.91,7258600,IHH
2017-07-10,5.9,5.92,5.9,5.91,3173700,IHH
2017-07-11,5.9,5.99,5.9,5.98,1720300,IHH
2017-07-12,5.97,5.99,5.92,5.99,2735900,IHH
2017-07-13,5.99,6.04,5.94,5.95,5588400,IHH
2017-07-14,5.97,6.02,5.95,5.98,2262800,IHH
2017-07-17,6.01,6.01,5.9,5.92,2305300,IHH
2017-07-18,5.91,5.93,5.9,5.91,3424900,IHH
2017-07-19,5.9,5.95,5.9,5.95,2044100,IHH
2017-07-20,5.95,5.97,5.94,5.96,2050500,IHH
2017-07-21,5.95,6.01,5.92,6.01,1651400,IHH
2017-07-24,6.01,6.01,5.95,5.97,2548100,IHH
2017-07-25,5.97,5.99,5.92,5.96,6002400,IHH
2017-07-26,5.97,5.99,5.94,5.94,1007800,IHH
