date,open,high,low,close,volume,Name
2017-05-31,4.59,4.59,4.52,4.55,6130100,IOI
2017-06-01,4.51,4.53,4.41,4.45,5468000,IOI
2017-06-02,4.47,4.49,4.43,4.49,2211200,IOI
2017-06-03,4.43,4.55,4.43,4.52,3795000,IOI
2017-06-04,4.5,4.55,4.5,4.55,2691100,IOI
2017-06-05,4.51,4.55,4.51,4.54,2162500,IOI
2017-06-06,4.54,4.55,4.52,4.53,2730700,IOI
2017-06-07,4.51,4.54,4.51,4.54,2095800,IOI
2017-06-08,4.47,4.55,4.47,4.52,6288000,IOI
2017-06-09,4.56,4.56,4.44,4.49,4482400,IOI
2017-06-10,4.49,4.5,4.47,4.47,2990400,IOI
2017-06-11,4.5,4.58,4.49,4.58,5195800,IOI
2017-06-12,4.58,4.6,4.5,4.5,355100,IOI
2017-06-13,4.5,4.51,4.49,4.5,1478300,IOI
2017-06-14,4.48,4.58,4.45,4.49,2377200,IOI
2017-06-15,4.49,4.49,4.45,4.48,1206800,IOI
2017-06-16,4.46,4.49,4.46,4.48,1093800,IOI
2017-06-17,4.49,4.49,4.49,4.49,0,IOI
2017-06-18,4.49,4.49,4.49,4.49,0,IOI
2017-06-19,4.46,4.49,4.43,4.45,1699700,IOI
2017-06-20,4.48,4.51,4.45,4.5,951300,IOI
2017-06-21,4.49,4.49,4.42,4.45,5548400,IOI
2017-06-22,4.47,4.53,4.46,4.48,3157500,IOI
2017-06-23,4.47,4.48,4.46,4.46,929100,IOI
2017-06-24,4.46,4.48,4.45,4.46,665700,IOI
2017-06-25,4.46,4.61,4.45,4.61,572000,IOI
2017-06-26,4.61,4.61,4.46,4.47,1972100,IOI
2017-06-27,4.46,4.5,4.45,4.49,2682800,IOI
2017-06-28,4.46,4.52,4.46,4.48,1111000,IOI
2017-06-29,4.49,4.49,4.48,4.49,2542900,IOI
2017-06-30,4.5,4.51,4.49,4.51,3556500,IOI
2017-07-01,4.51,4.51,4.47,4.49,1248400,IOI
2017-07-02,4.51,4.51,4.49,4.5,1369100,IOI
2017-07-03,4.49,4.5,4.48,4.49,1545900,IOI
2017-07-04,4.5,4.5,4.46,4.49,2537700,IOI
2017-07-05,4.49,4.5,4.48,4.49,2817600,IOI
2017-07-06,4.48,4.49,4.46,4.48,2163500,IOI
2017-07-07,4.46,4.49,4.46,4.48,2827000,IOI
2017-07-08,4.48,4.5,4.46,4.48,3482300,IOI
2017-07-09,4.48,4.51,4.43,4.51,2495300,IOI
2017-07-10,4.46,4.48,4.46,4.48,1879800,IOI
2017-07-11,4.48,4.5,4.47,4.47,2668300,IOI
2017-07-12,4.47,4.48,4.42,4.47,5170300,IOI
