date,open,high,low,close,volume,Name
2017-05-31,6.43,6.43,6.1,6.15,6681300,MAXIS
2017-06-01,6.12,6.18,6.05,6.15,2160300,MAXIS
2017-06-02,6.13,6.19,6.11,6.19,2365300,MAXIS
2017-06-05,6.19,6.21,6.15,6.18,3738100,MAXIS
2017-06-06,6.18,6.19,6.16,6.19,3404300,MAXIS
2017-06-07,6.18,6.23,6.18,6.2,1894200,MAXIS
2017-06-08,6.2,6.21,6.17,6.19,1045100,MAXIS
2017-06-09,6.12,6.19,6.12,6.19,2592400,MAXIS
2017-06-13,6.14,6.18,6.08,6.14,2844800,MAXIS
2017-06-14,6.16,6.18,6.08,6.08,2171500,MAXIS
2017-06-15,6.1,6.12,6.01,6.01,1350400,MAXIS
2017-06-16,6.04,6.05,5.88,5.88,2719000,MAXIS
2017-06-19,5.88,5.88,5.88,5.88,0,MAXIS
2017-06-20,5.64,5.68,5.53,5.62,17576000,MAXIS
2017-06-21,5.61,5.61,5.53,5.59,8255000,MAXIS
2017-06-22,5.59,5.6,5.57,5.59,5399200,MAXIS
2017-06-23,5.6,5.65,5.59,5.64,8559600,MAXIS
2017-06-26,5.65,5.65,5.65,5.65,0,MAXIS
2017-06-27,5.65,5.65,5.65,5.65,0,MAXIS
2017-06-28,5.65,5.65,5.6,5.61,5980100,MAXIS
2017-06-29,5.6,5.61,5.6,5.61,3701800,MAXIS
2017-06-30,5.6,5.61,5.55,5.55,10905700,MAXIS
2017-07-03,5.58,5.58,5.49,5.51,15288700,MAXIS
2017-07-04,5.51,5.53,5.48,5.49,18011800,MAXIS
2017-07-05,5.49,5.57,5.49,5.5,6157200,MAXIS
2017-07-06,5.52,5.53,5.49,5.5,17600400,MAXIS
2017-07-07,5.5,5.51,5.48,5.49,3290600,MAXIS
2017-07-10,5.49,5.52,5.48,5.51,2897000,MAXIS
2017-07-11,5.51,5.54,5.5,5.5,3212000,MAXIS
2017-07-12,5.5,5.51,5.49,5.51,2651400,MAXIS
2017-07-13,5.51,5.56,5.5,5.52,8401700,MAXIS
2017-07-14,5.52,5.52,5.49,5.5,3610300,MAXIS
2017-07-17,5.51,5.54,5.5,5.53,4267700,MAXIS
2017-07-18,5.56,5.57,5.54,5.57,3628300,MAXIS
2017-07-19,5.59,5.59,5.56,5.56,2107000,MAXIS
2017-07-20,5.56,5.56,5.49,5.53,2681400,MAXIS
2017-07-21,5.51,5.54,5.49,5.54,5887500,MAXIS
2017-07-24,5.53,5.56,5.52,5.55,3906700,MAXIS
2017-07-25,5.55,5.58,5.54,5.56,2934600,MAXIS
2017-07-26,5.56,5.58,5.55,5.57,2474200,MAXIS
2017-07-27,5.58,5.63,5.57,5.59,5407300,MAXIS
2017-07-28,5.6,5.63,5.59,5.62,8348400,MAXIS
2017-07-31,5.64,5.67,5.62,5.65,8275700,MAXIS
2017-08-01,5.65,5.76,5.65,5.7,10581300,MAXIS
2017-08-02,5.74,5.74,5.7,5.73,1118700,MAXIS
2017-08-03,5.72,5.76,5.72,5.76,1939200,MAXIS
2017-08-04,5.77,5.77,5.74,5.76,2861500,MAXIS
2017-08-07,5.75,5.79,5.75,5.79,7304000,MAXIS
2017-08-08,5.75,5.79,5.74,5.79,6951400,MAXIS
