date,open,high,low,close,volume,Name
2017-05-31,7.57,7.59,7.4,7.5,17104700,MISC
2017-06-01,7.45,7.5,7.36,7.44,1146600,MISC
2017-06-02,7.48,7.56,7.4,7.56,664400,MISC
2017-06-05,7.45,7.57,7.4,7.5,1627000,MISC
2017-06-06,7.48,7.53,7.42,7.48,2518100,MISC
2017-06-07,7.57,7.57,7.45,7.49,1606000,MISC
2017-06-08,7.47,7.52,7.44,7.52,2011700,MISC
2017-06-09,7.52,7.52,7.4,7.43,1129100,MISC
2017-06-13,7.4,7.43,7.24,7.3,2528300,MISC
2017-06-14,7.33,7.35,7.26,7.35,2446000,MISC
2017-06-15,7.35,7.39,7.34,7.35,1290600,MISC
2017-06-16,7.42,7.46,7.35,7.4,3025300,MISC
2017-06-19,7.36,7.49,7.34,7.49,248600,MISC
2017-06-20,7.39,7.43,7.32,7.42,541900,MISC
2017-06-21,7.32,7.49,7.29,7.49,2754700,MISC
2017-06-22,7.49,7.5,7.33,7.42,2423600,MISC
2017-06-23,7.35,7.47,7.34,7.4,694400,MISC
2017-06-26,7.42,7.42,7.42,7.42,0,MISC
2017-06-27,7.42,7.42,7.42,7.42,0,MISC
2017-06-28,7.39,7.48,7.28,7.32,1528900,MISC
2017-06-29,7.38,7.45,7.31,7.43,779000,MISC
2017-06-30,7.44,7.46,7.33,7.46,2141500,MISC
2017-07-03,7.46,7.46,7.33,7.41,898100,MISC
2017-07-04,7.34,7.41,7.34,7.34,674900,MISC
2017-07-05,7.33,7.42,7.32,7.4,2113000,MISC
2017-07-06,7.43,7.43,7.36,7.43,685000,MISC
2017-07-07,7.36,7.37,7.31,7.32,1212400,MISC
2017-07-10,7.32,7.39,7.25,7.39,638800,MISC
2017-07-11,7.35,7.4,7.32,7.39,845800,MISC
2017-07-12,7.39,7.44,7.33,7.36,463100,MISC
2017-07-13,7.4,7.46,7.34,7.4,1163600,MISC
2017-07-14,7.35,7.47,7.35,7.39,1743800,MISC
2017-07-17,7.41,7.41,7.37,7.4,791500,MISC
2017-07-18,7.39,7.44,7.34,7.34,1484500,MISC
2017-07-19,7.32,7.38,7.31,7.37,1014600,MISC
2017-07-20,7.35,7.42,7.35,7.39,958400,MISC
2017-07-21,7.41,7.42,7.34,7.4,1735700,MISC
2017-07-24,7.42,7.42,7.35,7.38,1988100,MISC
2017-07-25,7.35,7.44,7.35,7.44,350100,MISC
2017-07-26,7.41,7.41,7.37,7.39,414500,MISC
2017-07-27,7.45,7.45,7.37,7.38,427900,MISC
2017-07-28,7.36,7.4,7.36,7.36,391600,MISC
2017-07-31,7.31,7.42,7.31,7.39,2022400,MISC
2017-08-01,7.38,7.4,7.34,7.36,1268400,MISC
2017-08-02,7.34,7.6,7.34,7.6,978100,MISC
2017-08-03,7.48,7.49,7.37,7.37,475700,MISC
2017-08-04,7.39,7.54,7.39,7.4,827100,MISC
2017-08-07,7.37,7.52,7.37,7.5,1057700,MISC
2017-08-08,7.5,7.51,7.45,7.5,2463200,MISC
2017-08-09,7.46,7.5,7.32,7.33,1220600,MISC
2017-08-10,7.27,7.32,7.24,7.3,1408600,MISC
2017-08-11,7.3,7.31,7.27,7.29,1746300,MISC
2017-08-14,7.29,7.4,7.29,7.38,557600,MISC
2017-08-15,7.42,7.42,7.27,7.3,819500,MISC
2017-08-16,7.32,7.33,7.28,7.3,757000,MISC
2017-08-17,7.27,7.31,7.27,7.29,643500,MISC
2017-08-18,7.27,7.32,7.27,7.32,356400,MISC
2017-08-21,7.32,7.32,7.16,7.16,2008600,MISC
2017-08-22,7.17,7.21,7.16,7.18,1799700,MISC
2017-08-23,7.2,7.25,7.17,7.25,519300,MISC
2017-08-24,7.25,7.27,7.2,7.25,1697100,MISC
2017-08-25,7.27,7.28,7.24,7.25,934900,MISC
2017-08-28,7.28,7.38,7.25,7.25,559900,MISC
2017-08-29,7.25,7.28,7.24,7.25,1145900,MISC
2017-08-30,7.32,7.49,7.25,7.44,1165900,MISC
2017-08-31,7.44,7.44,7.44,7.44,0,MISC
2017-09-01,7.44,7.44,7.44,7.44,0,MISC
2017-09-04,7.44,7.44,7.44,7.44,0,MISC
2017-09-05,7.46,7.49,7.4,7.45,1355200,MISC
2017-09-06,7.43,7.43,7.24,7.31,1909400,MISC
2017-09-07,7.32,7.35,7.28,7.34,846900,MISC
2017-09-08,7.29,7.39,7.28,7.34,396700,MISC
2017-09-11,7.38,7.42,7.29,7.29,500700,MISC
2017-09-12,7.33,7.46,7.32,7.38,1203300,MISC
2017-09-13,7.42,7.44,7.34,7.38,779300,MISC
2017-09-14,7.32,7.4,7.32,7.39,605400,MISC
2017-09-15,7.4,7.4,7.35,7.36,2766100,MISC
2017-09-18,7.35,7.39,7.35,7.37,139100,MISC
2017-09-19,7.31,7.38,7.31,7.38,638800,MISC
2017-09-20,7.42,7.42,7.32,7.38,518800,MISC
2017-09-21,7.43,7.43,7.3,7.38,640000,MISC
2017-09-22,7.38,7.38,7.38,7.38,0,MISC
2017-09-25,7.41,7.47,7.35,7.38,925000,MISC
2017-09-26,7.45,7.46,7.32,7.38,384200,MISC
2017-09-27,7.4,7.4,7.3,7.39,652000,MISC
2017-09-28,7.4,7.4,7.26,7.3,1067000,MISC
2017-09-29,7.35,7.35,7.22,7.3,2173500,MISC
2017-10-02,7.22,7.29,7.22,7.28,760200,MISC
2017-10-03,7.22,7.28,7.22,7.26,316900,MISC
2017-10-04,7.29,7.29,7.21,7.23,164900,MISC
2017-10-05,7.23,7.3,7.19,7.26,357000,MISC
2017-10-06,7.26,7.3,7.23,7.25,745100,MISC
2017-10-09,7.25,7.31,7.21,7.23,431200,MISC
2017-10-10,7.21,7.23,7.17,7.2,1086600,MISC
2017-10-11,7.21,7.22,7.14,7.21,2422800,MISC
2017-10-12,7.23,7.23,7.15,7.16,1469600,MISC
2017-10-13,7.18,7.18,7.14,7.15,1252000,MISC
2017-10-16,7.15,7.25,7.15,7.25,917200,MISC
2017-10-17,7.2,7.21,7.18,7.19,947600,MISC
2017-10-18,7.19,7.19,7.19,7.19,0,MISC
2017-10-19,7.16,7.18,7.15,7.15,1442300,MISC
2017-10-20,7.17,7.17,7.12,7.17,3777900,MISC
2017-10-23,7.19,7.21,7.13,7.14,311500,MISC
2017-10-24,7.19,7.19,7.05,7.08,1255000,MISC
2017-10-25,7.13,7.13,7.06,7.12,245200,MISC
2017-10-26,7.13,7.13,7.05,7.07,1874700,MISC
2017-10-27,7.07,7.08,6.92,7.04,992500,MISC
2017-10-30,6.97,7.04,6.96,7.01,413100,MISC
2017-10-31,7.05,7.05,6.91,6.95,2003900,MISC
2017-11-01,6.95,7.08,6.95,7.08,1055100,MISC
2017-11-02,7.11,7.11,6.95,7,555600,MISC
2017-11-03,7.02,7.17,6.94,7.11,1734200,MISC
2017-11-06,7.16,7.68,7.15,7.41,7219500,MISC
2017-11-07,7.4,7.56,7.36,7.45,3878000,MISC
2017-11-08,7.54,7.54,7.42,7.46,3565300,MISC
2017-11-09,7.5,7.5,7.43,7.45,840200,MISC
2017-11-10,7.49,7.49,7.3,7.3,1468900,MISC
2017-11-13,7.35,7.46,7.34,7.37,1625100,MISC
2017-11-14,7.43,7.46,7.38,7.38,1976800,MISC
2017-11-15,7.3,7.31,7.19,7.28,1574000,MISC
2017-11-16,7.33,7.33,7.23,7.29,2059100,MISC
2017-11-17,7.27,7.27,7.16,7.19,659600,MISC
2017-11-20,7.2,7.24,7.13,7.19,1259100,MISC
2017-11-21,7.19,7.35,7.14,7.24,779800,MISC
2017-11-22,7.24,7.34,7.16,7.16,1137400,MISC
2017-11-23,7.19,7.24,7.18,7.19,296900,MISC
2017-11-24,7.22,7.22,7.03,7.06,591800,MISC
2017-11-27,7.08,7.12,7.02,7.11,631700,MISC
2017-11-28,7.06,7.1,6.97,6.99,1417400,MISC
2017-11-29,7,7.01,6.89,7.01,3177600,MISC
2017-11-30,7.11,7.11,6.96,7.05,5516300,MISC
2017-12-01,7.05,7.05,7.05,7.05,0,MISC
2017-12-04,7.01,7.29,6.97,7.09,1523900,MISC
2017-12-05,7.09,7.1,7.04,7.08,851900,MISC
2017-12-06,7.08,7.1,7.02,7.08,909900,MISC
2017-12-07,7.04,7.14,7.04,7.09,2187500,MISC
2017-12-08,7.09,7.12,7.09,7.12,1482500,MISC
2017-12-11,7.2,7.25,7.05,7.08,840500,MISC
2017-12-12,7.09,7.15,7.05,7.09,2057300,MISC
2017-12-13,7.09,7.15,7.05,7.11,1623600,MISC
2017-12-14,7.16,7.16,7.08,7.12,1350400,MISC
2017-12-15,7.09,7.24,7.05,7.24,3192600,MISC
2017-12-18,7.24,7.26,7.06,7.14,3316400,MISC
2017-12-19,7.11,7.18,7.07,7.12,450900,MISC
2017-12-20,7.1,7.12,7.05,7.07,806900,MISC
2017-12-21,7.08,7.09,7.04,7.06,609100,MISC
2017-12-22,7.04,7.13,7.04,7.13,335700,MISC
2017-12-25,7.13,7.13,7.13,7.13,0,MISC
2017-12-26,7.13,7.27,7.11,7.27,650100,MISC
2017-12-27,7.28,7.39,7.27,7.39,1572000,MISC
2017-12-28,7.34,7.44,7.24,7.29,478800,MISC
2017-12-29,7.29,7.42,7.28,7.42,1526800,MISC
2018-01-02,7.21,7.44,7.21,7.42,428400,MISC
2018-01-03,7.44,7.51,7.27,7.35,942700,MISC
2018-01-04,7.32,7.47,7.32,7.4,873400,MISC
2018-01-05,7.35,7.49,7.33,7.45,1498100,MISC
2018-01-08,7.5,7.9,7.4,7.49,2580600,MISC
2018-01-09,7.57,7.68,7.47,7.55,1383600,MISC
2018-01-10,7.6,7.6,7.51,7.53,1452400,MISC
2018-01-11,7.48,7.53,7.44,7.5,1002300,MISC
2018-01-12,7.6,7.6,7.36,7.5,1476900,MISC
2018-01-15,7.54,7.59,7.39,7.45,564400,MISC
2018-01-16,7.41,7.43,7.36,7.4,2188400,MISC
