date,open,high,low,close,volume,Name
2017-05-31,4.02,4.02,4,4.01,88620000,PBB
2017-06-01,4.02,4.02,4,4.01,10869500,PBB
2017-06-02,4.01,4.03,4.01,4.02,31391500,PBB
2017-06-05,4.03,4.08,4.02,4.06,27772500,PBB
2017-06-06,4.06,4.08,4.05,4.06,22040500,PBB
2017-06-07,4.07,4.07,4.03,4.03,15416500,PBB
2017-06-08,4.05,4.07,4.04,4.06,22769500,PBB
2017-06-09,4.03,4.08,4.03,4.08,13964000,PBB
2017-06-13,4.07,4.08,4.07,4.08,15002500,PBB
2017-06-14,4.08,4.08,4.06,4.08,15852000,PBB
2017-06-15,4.08,4.08,4.08,4.08,7511500,PBB
2017-06-16,4.08,4.1,4.08,4.08,28365000,PBB
2017-06-19,4.06,4.08,4.06,4.07,13766000,PBB
2017-06-20,4.07,4.08,4.06,4.06,16386500,PBB
2017-06-21,4.08,4.08,4.07,4.08,13918000,PBB
2017-06-22,4.08,4.08,4.06,4.08,21836000,PBB
2017-06-23,4.08,4.08,4.07,4.08,19917000,PBB
2017-06-26,4.08,4.08,4.08,4.08,0,PBB
2017-06-27,4.08,4.08,4.08,4.08,0,PBB
2017-06-28,4.1,4.13,4.05,4.05,26421500,PBB
2017-06-29,4.05,4.07,4.05,4.06,18110500,PBB
2017-06-30,4.05,4.07,4.03,4.06,26001000,PBB
2017-07-03,4.06,4.06,4.04,4.06,8164000,PBB
2017-07-04,4.07,4.07,4.04,4.06,9238500,PBB
2017-07-05,4.05,4.07,4.05,4.07,9662000,PBB
2017-07-06,4.07,4.07,4.06,4.06,10427000,PBB
2017-07-07,4.06,4.07,4.06,4.06,13158500,PBB
2017-07-10,4.06,4.06,4.05,4.06,16429000,PBB
2017-07-11,4.07,4.08,4.06,4.06,19420500,PBB
2017-07-12,4.07,4.07,4.05,4.07,18571000,PBB
2017-07-13,4.07,4.09,4.06,4.07,20788000,PBB
2017-07-14,4.08,4.08,4.07,4.07,17752000,PBB
2017-07-17,4.07,4.08,4.07,4.07,4996000,PBB
2017-07-18,4.06,4.08,4.06,4.07,13764000,PBB
2017-07-19,4.08,4.1,4.07,4.07,19428000,PBB
2017-07-20,4.08,4.08,4.06,4.07,26464500,PBB
2017-07-21,4.07,4.07,4.07,4.07,22462000,PBB
2017-07-24,4.08,4.08,4.07,4.08,40644000,PBB
2017-07-25,4.08,4.09,4.08,4.08,13018000,PBB
2017-07-26,4.09,4.12,4.08,4.1,10927500,PBB
2017-07-27,4.1,4.1,4.09,4.1,23404000,PBB
2017-07-28,4.12,4.13,4.1,4.11,35099000,PBB
2017-07-31,4.11,4.13,4.06,4.06,57395500,PBB
2017-08-01,4.06,4.13,4.05,4.12,20679000,PBB
2017-08-02,4.11,4.15,4.11,4.13,13174000,PBB
2017-08-03,4.13,4.14,4.12,4.12,8574000,PBB
2017-08-04,4.12,4.15,4.12,4.15,13383500,PBB
2017-08-07,4.1,4.14,4.07,4.13,16644500,PBB
2017-08-08,4.13,4.15,4.12,4.12,33051000,PBB
2017-08-09,4.11,4.13,4.11,4.12,23833000,PBB
2017-08-10,4.12,4.12,4.12,4.12,22700000,PBB
2017-08-11,4.12,4.12,4.09,4.12,26252000,PBB
2017-08-14,4.11,4.13,4.11,4.12,24466000,PBB
2017-08-15,4.12,4.12,4.11,4.12,20850000,PBB
2017-08-16,4.12,4.13,4.12,4.12,22750500,PBB
2017-08-17,4.12,4.12,4.11,4.11,15134500,PBB
2017-08-18,4.11,4.12,4.09,4.12,20646500,PBB
2017-08-21,4.12,4.12,4.11,4.12,17727000,PBB
2017-08-22,4.1,4.12,4.1,4.12,18375500,PBB
2017-08-23,4.12,4.12,4.11,4.11,22953500,PBB
2017-08-24,4.12,4.12,4.11,4.11,17364000,PBB
2017-08-25,4.12,4.12,4.11,4.12,17506000,PBB
2017-08-28,4.12,4.12,4.11,4.12,11621500,PBB
2017-08-29,4.1,4.12,4.1,4.12,24235000,PBB
2017-08-30,4.11,4.12,4.1,4.12,44057000,PBB
2017-08-31,4.12,4.12,4.12,4.12,0,PBB
2017-09-01,4.12,4.12,4.12,4.12,0,PBB
2017-09-04,4.12,4.12,4.12,4.12,0,PBB
2017-09-05,4.14,4.14,4.1,4.12,24537000,PBB
2017-09-06,4.12,4.12,4.11,4.12,20186000,PBB
2017-09-07,4.13,4.13,4.11,4.12,26694500,PBB
2017-09-08,4.12,4.12,4.11,4.12,20407500,PBB
2017-09-11,4.12,4.13,4.11,4.12,20483000,PBB
2017-09-12,4.11,4.14,4.11,4.12,28205500,PBB
2017-09-13,4.14,4.18,4.12,4.12,15475000,PBB
2017-09-14,4.12,4.13,4.12,4.12,18004500,PBB
2017-09-15,4.12,4.12,4.11,4.11,28273500,PBB
2017-09-18,4.11,4.12,4.11,4.12,9175000,PBB
2017-09-19,4.12,4.13,4.12,4.12,10849000,PBB
2017-09-20,4.11,4.13,4.11,4.12,15657000,PBB
2017-09-21,4.12,4.12,4.12,4.12,5799500,PBB
2017-09-22,4.12,4.12,4.12,4.12,0,PBB
2017-09-25,4.11,4.12,4.1,4.12,20520500,PBB
2017-09-26,4.12,4.12,4.11,4.11,14404000,PBB
2017-09-27,4.12,4.12,4.11,4.12,19429500,PBB
2017-09-28,4.11,4.13,4.11,4.12,37695000,PBB
2017-09-29,4.13,4.13,4.09,4.09,24418500,PBB
2017-10-02,4.09,4.12,4.09,4.12,17210500,PBB
2017-10-03,4.11,4.12,4.11,4.12,21119000,PBB
2017-10-04,4.12,4.12,4.11,4.12,21375000,PBB
2017-10-05,4.11,4.12,4.1,4.11,19194000,PBB
2017-10-06,4.12,4.12,4.1,4.11,26671000,PBB
2017-10-09,4.11,4.12,4.11,4.11,14061000,PBB
2017-10-10,4.1,4.12,4.1,4.11,12420500,PBB
2017-10-11,4.11,4.12,4.1,4.11,22344500,PBB
2017-10-12,4.12,4.12,4.1,4.11,18195500,PBB
2017-10-13,4.1,4.11,4.09,4.1,25960000,PBB
2017-10-16,4.1,4.1,4.07,4.09,25775000,PBB
2017-10-17,4.09,4.1,4.09,4.09,38443500,PBB
2017-10-18,4.09,4.09,4.09,4.09,0,PBB
2017-10-19,4.08,4.1,4.08,4.1,27744000,PBB
2017-10-20,4.1,4.1,4.08,4.09,39573000,PBB
2017-10-23,4.1,4.1,4.09,4.09,12950500,PBB
2017-10-24,4.09,4.09,4.09,4.09,14947000,PBB
2017-10-25,4.08,4.09,4.08,4.09,14341500,PBB
2017-10-26,4.1,4.1,4.09,4.1,44520000,PBB
