date,open,high,low,close,volume,Name
2017-05-31,18.72,18.9,18.54,18.56,2228100,PETGAS
2017-06-01,18.68,18.8,18.6,18.74,1109600,PETGAS
2017-06-02,18.8,19,18.72,19,316300,PETGAS
2017-06-05,18.9,19.46,18.9,19.44,562600,PETGAS
2017-06-06,19.22,19.44,19.18,19.18,428200,PETGAS
2017-06-07,19.18,19.26,19,19.02,455700,PETGAS
2017-06-08,18.96,19.28,18.96,19.08,504300,PETGAS
2017-06-09,19.02,19.58,19.02,19.2,609100,PETGAS
2017-06-13,19.02,19.64,18.96,19.16,1053900,PETGAS
2017-06-14,19.46,19.46,18.74,18.9,526000,PETGAS
2017-06-15,18.92,18.98,18.82,18.98,280100,PETGAS
2017-06-16,18.86,19.12,18.86,18.9,1632900,PETGAS
2017-06-19,19.18,19.18,18.82,18.88,373700,PETGAS
2017-06-20,18.9,18.94,18.66,18.66,826800,PETGAS
2017-06-21,18.64,18.92,18.62,18.7,1108400,PETGAS
2017-06-22,18.88,18.94,18.84,18.9,810400,PETGAS
2017-06-23,18.92,19.02,18.8,18.9,669200,PETGAS
2017-06-26,18.9,18.9,18.9,18.9,0,PETGAS
2017-06-27,18.8,18.8,18.8,18.8,0,PETGAS
2017-06-28,19.06,19.26,18.7,18.72,476300,PETGAS
2017-06-29,18.8,18.88,18.54,18.7,301400,PETGAS
2017-06-30,18.7,18.7,18.36,18.54,831600,PETGAS
2017-07-03,18.62,18.9,18.36,18.8,395800,PETGAS
2017-07-04,18.7,18.96,18.5,18.5,479700,PETGAS
2017-07-05,18.5,18.78,18.46,18.6,1022100,PETGAS
2017-07-06,18.62,18.78,18.6,18.6,376900,PETGAS
2017-07-07,18.64,18.66,18.44,18.48,489100,PETGAS
2017-07-10,18.5,18.9,18.48,18.9,295900,PETGAS
2017-07-11,18.82,19.02,18.8,18.86,351900,PETGAS
2017-07-12,18.78,18.84,18.78,18.8,741100,PETGAS
2017-07-13,18.98,19,18.58,18.58,1801200,PETGAS
2017-07-14,18.66,18.84,18.66,18.8,733700,PETGAS
2017-07-17,18.9,18.9,18.7,18.82,1200600,PETGAS
2017-07-18,18.84,18.86,18.76,18.78,674800,PETGAS
2017-07-19,18.66,18.86,18.66,18.86,760800,PETGAS
2017-07-20,18.7,18.84,18.68,18.68,1518200,PETGAS
2017-07-21,18.64,18.82,18.58,18.82,296800,PETGAS
2017-07-24,18.8,18.82,18.68,18.8,1000800,PETGAS
2017-07-25,19,19,18.7,18.88,95600,PETGAS
2017-07-26,18.9,19.1,18.74,18.9,692100,PETGAS
2017-07-27,19,19,18.9,18.96,265500,PETGAS
2017-07-28,18.98,18.98,18.88,18.96,295100,PETGAS
2017-07-31,18.76,18.94,18.62,18.74,1942800,PETGAS
2017-08-01,18.68,18.8,18.66,18.74,260800,PETGAS
2017-08-02,18.84,18.88,18.66,18.76,344200,PETGAS
2017-08-03,18.88,18.88,18.54,18.62,110300,PETGAS
2017-08-04,18.62,18.78,18.62,18.7,219100,PETGAS
2017-08-07,18.8,18.88,18.76,18.86,194400,PETGAS
2017-08-08,18.72,18.98,18.72,18.92,141300,PETGAS
2017-08-09,18.84,18.9,18.72,18.78,49500,PETGAS
2017-08-10,18.76,18.96,18.62,18.78,356500,PETGAS
2017-08-11,18.66,18.8,18.66,18.78,162600,PETGAS
2017-08-14,18.78,18.86,18.66,18.8,1235200,PETGAS
2017-08-15,18.86,18.9,18.74,18.82,688900,PETGAS
2017-08-16,18.8,19.06,18.8,18.88,1177000,PETGAS
2017-08-17,18.88,18.88,18.66,18.66,1899200,PETGAS
2017-08-18,18.7,18.8,18.64,18.8,730500,PETGAS
2017-08-21,18.78,18.82,18.66,18.8,849100,PETGAS
2017-08-22,18.8,18.82,18.72,18.8,1049100,PETGAS
2017-08-23,18.8,19,18.76,19,589800,PETGAS
2017-08-24,18.9,19.06,18.88,18.98,1116900,PETGAS
2017-08-25,18.9,18.9,18.8,18.88,1079300,PETGAS
2017-08-28,18.8,18.82,18.64,18.64,155600,PETGAS
2017-08-29,18.64,18.78,18.34,18.34,288400,PETGAS
2017-08-30,18.4,18.5,18.34,18.4,1869300,PETGAS
2017-08-31,18.4,18.4,18.4,18.4,0,PETGAS
2017-09-01,18.4,18.4,18.4,18.4,0,PETGAS
2017-09-05,18.32,18.46,18.3,18.38,509000,PETGAS
2017-09-06,18.42,18.42,18.2,18.38,1396400,PETGAS
2017-09-07,18.4,18.42,18.08,18.2,490100,PETGAS
2017-09-08,18.2,18.28,17.82,18.18,277100,PETGAS
2017-09-11,18,18.16,18,18.1,567800,PETGAS
2017-09-12,18.18,18.8,18.04,18.74,398000,PETGAS
2017-09-13,18.72,19,18.54,18.66,411900,PETGAS
2017-09-14,18.6,18.84,18.46,18.6,232100,PETGAS
2017-09-15,18.58,18.78,18.32,18.58,1042200,PETGAS
2017-09-18,18.48,18.48,18.32,18.34,93300,PETGAS
2017-09-19,18.34,18.46,18.18,18.3,314900,PETGAS
2017-09-20,18.38,18.46,18.22,18.36,222000,PETGAS
2017-09-21,18.3,18.44,18.02,18.02,200700,PETGAS
2017-09-22,18.02,18.02,18.02,18.02,0,PETGAS
2017-09-25,18.18,18.56,18.1,18.44,334400,PETGAS
2017-09-26,18.44,18.44,18.14,18.1,1307800,PETGAS
2017-09-27,18.08,18.34,18.08,18.12,2181100,PETGAS
2017-09-28,18.12,18.12,18,18,216500,PETGAS
2017-09-29,18.08,18.26,17.84,17.9,418900,PETGAS
2017-10-02,18,18,17.8,17.9,218100,PETGAS
2017-10-03,18.12,18.2,17.94,18.08,220600,PETGAS
2017-10-04,18.12,18.24,18.02,18.24,566700,PETGAS
2017-10-05,18.2,18.2,18.08,18.1,420400,PETGAS
2017-10-06,17.98,18.16,17.98,18.1,230200,PETGAS
2017-10-09,18.16,18.16,18.06,18.08,13100,PETGAS
2017-10-10,18.06,18.58,18.06,18.58,109100,PETGAS
2017-10-11,18.58,18.7,18.42,18.5,250100,PETGAS
2017-10-12,18.64,18.68,18.38,18.48,390200,PETGAS
2017-10-13,18.48,18.48,18.48,18.48,0,PETGAS
2017-10-16,18.7,18.78,18.52,18.68,449300,PETGAS
2017-10-17,18.76,18.76,18.5,18.5,201000,PETGAS
2017-10-18,18.5,18.5,18.5,18.5,0,PETGAS
2017-10-19,18.3,18.52,17.9,17.98,445200,PETGAS
2017-10-20,18.08,18.28,17.88,17.88,493400,PETGAS
2017-10-23,17.9,18.22,17.9,18.2,176800,PETGAS
2017-10-24,18.28,18.28,17.98,18.1,2783900,PETGAS
2017-10-25,18.14,18.16,18.04,18.06,423100,PETGAS
2017-10-26,18.1,18.18,17.9,18.14,543300,PETGAS
2017-10-27,17.96,18.24,17.96,18.1,2569700,PETGAS
2017-10-30,18.08,18.46,18.06,18.1,2578000,PETGAS
2017-10-31,18.18,18.18,17.98,18.04,3250000,PETGAS
2017-11-01,18.02,18.2,18.02,18.08,1564200,PETGAS
2017-11-02,18.22,18.24,17.82,17.9,2936500,PETGAS
2017-11-03,18.02,18.02,17.7,17.7,1886700,PETGAS
2017-11-06,17.84,17.84,17,17.1,3568100,PETGAS
2017-11-07,17.1,17.64,17.08,17.64,466100,PETGAS
2017-11-08,17.32,17.5,16.64,17.06,1428100,PETGAS
2017-11-09,17,18.3,16.82,17.7,4018500,PETGAS
2017-11-10,17.9,18.16,17.34,17.8,4023400,PETGAS
2017-11-13,17.72,17.74,17.38,17.44,606700,PETGAS
2017-11-14,17.44,17.6,16.96,16.98,989400,PETGAS
2017-11-15,17.1,17.1,16.86,16.88,1954100,PETGAS
2017-11-16,17,17.2,16.84,17.18,3519500,PETGAS
2017-11-17,17.18,17.18,16.6,16.64,623800,PETGAS
2017-11-20,16.8,16.84,16.44,16.66,434400,PETGAS
2017-11-21,16.66,17.14,16.5,17.14,605500,PETGAS
2017-11-22,16.9,17.48,16.66,16.72,2679500,PETGAS
2017-11-23,16.7,16.7,16.44,16.54,368700,PETGAS
2017-11-24,16.72,16.76,16.3,16.76,297300,PETGAS
2017-11-27,16.54,16.56,16.22,16.4,346400,PETGAS
2017-11-28,16.3,16.5,16.24,16.34,462400,PETGAS
2017-11-29,16.3,16.34,16.02,16.16,399800,PETGAS
2017-11-30,16.16,16.3,15.86,15.88,3478300,PETGAS
2017-12-01,15.88,15.88,15.88,15.88,0,PETGAS
2017-12-04,15.92,16.14,15.82,15.94,765700,PETGAS
2017-12-05,16,16.32,15.9,16.1,703800,PETGAS
2017-12-06,16.2,16.38,15.92,16.16,683100,PETGAS
2017-12-07,16.36,16.36,16.1,16.1,1097900,PETGAS
2017-12-08,16.1,16.12,16,16,498800,PETGAS
2017-12-11,16,16.14,15.98,16.04,558800,PETGAS
2017-12-12,16.04,16.18,16.02,16.06,722000,PETGAS
2017-12-13,16.18,16.18,16.04,16.06,1203200,PETGAS
2017-12-14,16.18,16.48,16.1,16.3,1356200,PETGAS
2017-12-15,16.2,16.46,15.94,16.24,1557100,PETGAS
2017-12-18,16.24,16.44,16,16.44,505200,PETGAS
2017-12-19,16.4,16.44,16.28,16.4,1366600,PETGAS
2017-12-20,16.36,16.46,16.32,16.38,556200,PETGAS
2017-12-21,16.48,17.04,16.36,16.96,1585800,PETGAS
2017-12-22,17.02,17.42,16.96,17.1,1348100,PETGAS
2017-12-25,17.1,17.1,17.1,17.1,0,PETGAS
2017-12-26,17.12,17.12,16.8,17,371200,PETGAS
2017-12-27,17.1,17.3,17.06,17.18,1999000,PETGAS
2017-12-28,17.22,17.5,17.2,17.38,419000,PETGAS
2017-12-29,17.38,17.68,17.12,17.48,600900,PETGAS
2018-01-02,17.5,17.52,17.16,17.52,411800,PETGAS
2018-01-03,17.7,18.26,17.6,17.94,970200,PETGAS
2018-01-04,18.1,18.1,17.96,18.1,433400,PETGAS
2018-01-05,18.1,18.36,17.94,18.36,397200,PETGAS
2018-01-08,18.38,19.5,18.24,19.2,1022700,PETGAS
2018-01-09,19.18,19.2,18.82,19,576100,PETGAS
2018-01-10,19,19.2,18.82,19,265900,PETGAS
2018-01-11,18.8,18.98,18.32,18.5,494800,PETGAS
2018-01-12,18.7,19,18.5,19,353800,PETGAS
2018-01-15,19,19.14,18.82,18.9,778400,PETGAS
2018-01-16,18.88,18.88,18.14,18.36,1115200,PETGAS
2018-01-17,18.36,18.36,17.62,17.94,665800,PETGAS
2018-01-18,17.94,17.96,17.06,17.32,861100,PETGAS
2018-01-19,17.28,18.2,17.28,18.2,476600,PETGAS
2018-01-22,18.16,18.28,17.94,18,406900,PETGAS
2018-01-23,18.24,18.24,17.38,18.16,268100,PETGAS
2018-01-24,18.16,18.16,17.54,17.7,296900,PETGAS
2018-01-25,18,18,17.7,17.8,726000,PETGAS
2018-01-26,17.8,18.3,17.6,18.3,430100,PETGAS
2018-01-29,18.4,18.48,17.86,18.42,415600,PETGAS
2018-01-30,18.38,18.42,17.82,17.9,407600,PETGAS
2018-02-02,18.14,18.58,17.9,18.28,808400,PETGAS
2018-02-05,18.1,18.4,17.82,18.04,820800,PETGAS
2018-02-06,17.82,17.82,16.56,17.12,1580400,PETGAS
2018-02-07,17.24,17.92,17.2,17.62,869600,PETGAS
2018-02-08,17.94,18.12,17.44,18,860300,PETGAS
2018-02-09,17.5,17.64,17.32,17.48,607700,PETGAS
2018-02-12,17.56,17.86,17.56,17.76,622700,PETGAS
2018-02-13,17.76,17.96,17.6,17.8,597100,PETGAS
2018-02-14,17.48,17.64,17.44,17.5,261400,PETGAS
2018-02-15,17.5,17.6,17.44,17.5,66600,PETGAS
2018-02-16,17.5,17.5,17.5,17.5,0,PETGAS
2018-02-19,17.74,18.66,17.74,18.66,299000,PETGAS
2018-02-20,18.64,18.64,17.66,17.8,305900,PETGAS
2018-02-21,17.82,18,17.8,17.9,785800,PETGAS
2018-02-22,17.86,18.14,17.86,17.96,490300,PETGAS
2018-02-23,17.94,17.94,17.62,17.68,718300,PETGAS
2018-02-26,17.68,17.9,17.6,17.66,832800,PETGAS
2018-02-27,17.66,18,17.54,17.9,683700,PETGAS
2018-02-28,18.2,18.2,17.42,17.62,1275400,PETGAS
2018-03-01,17.72,17.72,17.4,17.44,665000,PETGAS
2018-03-02,17.54,17.74,17.36,17.42,867300,PETGAS
2018-03-05,17.6,17.88,17.38,17.62,644400,PETGAS
2018-03-06,17.72,18,17.46,17.62,423600,PETGAS
2018-03-07,17.5,17.6,17.4,17.4,424900,PETGAS
2018-03-08,17.84,17.84,17.4,17.4,512400,PETGAS
2018-03-09,17.5,17.6,17.4,17.4,212800,PETGAS
2018-03-12,17.4,17.98,17.4,17.8,510500,PETGAS
2018-03-13,17.8,17.94,17.66,17.9,996100,PETGAS
2018-03-14,17.54,18.08,17.54,17.9,332700,PETGAS
2018-03-15,17.62,18.16,17.62,18,1338800,PETGAS
2018-03-16,17.8,18.18,17.8,18,2163000,PETGAS
2018-03-19,18.16,18.18,17.84,17.86,181500,PETGAS
2018-03-20,17.74,18.16,17.74,17.94,267100,PETGAS
2018-03-21,18,18,17.96,18,282500,PETGAS
2018-03-22,18.06,18.06,17.64,18,285100,PETGAS
2018-03-23,17.6,17.9,17.52,17.88,867000,PETGAS
2018-03-26,17.8,17.96,17.7,17.8,640700,PETGAS
2018-03-27,17.82,17.94,17.8,17.82,255300,PETGAS
2018-03-28,17.8,17.98,17.52,17.84,396500,PETGAS
2018-03-29,17.8,17.86,17.78,17.82,270800,PETGAS
2018-03-30,17.88,18,17.82,17.84,213600,PETGAS
2018-04-02,18,18.06,17.84,17.98,159700,PETGAS
2018-04-03,17.82,18.06,17.82,17.98,550800,PETGAS
2018-04-04,17.98,18,17.68,17.9,272500,PETGAS
2018-04-05,18,18,17.88,17.98,158700,PETGAS
2018-04-06,18.1,18.1,17.64,17.98,183500,PETGAS
2018-04-09,18.08,18.38,17.76,18.2,576200,PETGAS
2018-04-10,17.86,18.22,17.86,18.1,322700,PETGAS
2018-04-11,18.34,18.34,18,18,154700,PETGAS
2018-04-12,18.2,18.3,18,18.2,280700,PETGAS
2018-04-13,18.22,18.22,17.8,18.02,303900,PETGAS
2018-04-16,18.18,18.2,17.96,18,327600,PETGAS
2018-04-17,18.2,18.6,18.16,18.54,2241800,PETGAS
2018-04-18,18.5,18.6,18.4,18.52,712400,PETGAS
2018-04-19,18.78,18.8,18.42,18.58,1399200,PETGAS
2018-04-20,18.58,18.68,18.34,18.6,1114500,PETGAS
2018-04-23,18.6,18.6,18.04,18.22,403500,PETGAS
2018-04-24,18.66,18.66,17.96,17.96,168100,PETGAS
2018-04-25,18,18.14,17.84,17.94,267400,PETGAS
2018-04-26,18.1,18.2,17.94,18,1468400,PETGAS
2018-04-27,18.02,18.02,17.88,17.98,357200,PETGAS
2018-04-30,17.92,18.08,17.82,17.82,639200,PETGAS
2018-05-02,17.82,18.3,17.4,18.2,1050400,PETGAS
2018-05-03,17.66,18.2,17.66,17.78,946200,PETGAS
2018-05-04,17.78,18.02,17.76,17.76,470200,PETGAS
2018-05-07,17.56,17.66,17.52,17.58,680200,PETGAS
2018-05-08,17.52,17.96,17.5,17.76,696900,PETGAS
2018-05-14,17.4,18.8,17.04,17.54,2462500,PETGAS
2018-05-15,17.8,18,17.42,17.54,929000,PETGAS
2018-05-16,17.5,17.78,17.28,17.5,628900,PETGAS
2018-05-17,17.4,18.1,17.4,17.84,807600,PETGAS
2018-05-18,18,18.2,17.9,17.9,757300,PETGAS
