date,open,high,low,close,volume,Name
2017-05-31,5.38,5.44,5.38,5.39,2598100,RHB
2017-06-01,5.39,5.39,5.39,5.39,0,RHB
2017-06-02,5.49,5.55,5.16,5.19,7490200,RHB
2017-06-03,5.2,5.27,5.18,5.19,2189700,RHB
2017-06-04,5.19,5.2,5.16,5.18,1999000,RHB
2017-06-05,5.19,5.2,5.17,5.19,3668000,RHB
2017-06-06,5.2,5.2,5.06,5.1,2183300,RHB
2017-06-07,5.12,5.21,5.11,5.13,5533000,RHB
2017-06-08,5.17,5.17,5.1,5.12,2459700,RHB
2017-06-09,5.12,5.12,5.07,5.1,1698900,RHB
2017-06-10,5.1,5.16,5.07,5.09,3581900,RHB
2017-06-11,5.1,5.11,5.05,5.05,2794400,RHB
2017-06-12,5.07,5.1,5.05,5.07,1293700,RHB
2017-06-13,5.08,5.1,5.06,5.08,4311000,RHB
2017-06-14,5.09,5.1,5.05,5.09,2739400,RHB
2017-06-15,5.11,5.2,5.1,5.14,2148900,RHB
2017-06-16,5.15,5.15,5.11,5.13,1049900,RHB
2017-06-17,5.13,5.13,5.13,5.13,0,RHB
2017-06-18,5.13,5.13,5.13,5.13,0,RHB
2017-06-19,5.16,5.16,5.05,5.07,1741200,RHB
2017-06-20,5.07,5.1,5.05,5.08,621600,RHB
2017-06-21,5.08,5.09,5.05,5.06,2519100,RHB
2017-06-22,5.08,5.09,5.06,5.08,2600100,RHB
2017-06-23,5.07,5.08,5.06,5.06,1533600,RHB
2017-06-24,5.06,5.08,5.06,5.07,1698600,RHB
2017-06-25,5.08,5.1,5.06,5.07,2722200,RHB
2017-06-26,5.06,5.08,5.06,5.07,902400,RHB
2017-06-27,5.07,5.08,5.06,5.07,627300,RHB
2017-06-28,5.06,5.07,5,5.02,1107000,RHB
2017-06-29,5.06,5.06,5.04,5.05,1092800,RHB
2017-06-30,5.07,5.07,5.04,5.05,1643400,RHB
2017-07-01,5.08,5.08,5.05,5.06,567200,RHB
2017-07-02,5.09,5.09,5.04,5.06,752100,RHB
2017-07-03,5.08,5.08,5.03,5.04,554300,RHB
