date,open,high,low,close,volume,Name
2017-05-31,3.47,3.49,3.47,3.48,30134762,SIME
2017-06-01,3.47,3.49,3.47,3.48,26460529,SIME
2017-06-02,3.48,3.61,3.48,3.59,43604720,SIME
2017-06-05,3.51,3.59,3.51,3.58,35213164,SIME
2017-06-06,3.58,3.59,3.57,3.58,26043239,SIME
2017-06-07,3.55,3.59,3.55,3.58,27654046,SIME
2017-06-08,3.57,3.59,3.57,3.58,8018699,SIME
2017-06-09,3.57,3.61,3.57,3.58,9271369,SIME
2017-06-13,3.58,3.6,3.56,3.59,23210812,SIME
2017-06-14,3.6,3.6,3.58,3.59,25503360,SIME
2017-06-15,3.59,3.6,3.58,3.59,17653022,SIME
2017-06-16,3.6,3.61,3.59,3.59,34963701,SIME
2017-06-19,3.59,3.59,3.58,3.59,28692852,SIME
2017-06-20,3.6,3.6,3.59,3.59,26424929,SIME
2017-06-21,3.6,3.6,3.57,3.58,21337159,SIME
2017-06-22,3.59,3.59,3.58,3.59,21746418,SIME
2017-06-23,3.6,3.6,3.59,3.59,6688137,SIME
2017-06-26,3.59,3.59,3.59,3.59,0,SIME
2017-06-27,3.59,3.59,3.59,3.59,0,SIME
2017-06-28,3.57,3.62,3.57,3.59,14705498,SIME
2017-06-29,3.59,3.59,3.57,3.58,7704460,SIME
2017-06-30,3.58,3.6,3.52,3.55,32895991,SIME
2017-07-03,3.59,3.59,3.54,3.55,23353209,SIME
2017-07-04,3.55,3.56,3.55,3.55,17067639,SIME
2017-07-05,3.55,3.56,3.55,3.55,20565749,SIME
2017-07-06,3.55,3.57,3.55,3.56,23552084,SIME
2017-07-07,3.56,3.57,3.56,3.56,25742652,SIME
2017-07-10,3.59,3.59,3.56,3.56,20013289,SIME
2017-07-11,3.56,3.56,3.56,3.56,14926857,SIME
2017-07-12,3.55,3.57,3.55,3.56,10843364,SIME
2017-07-13,3.56,3.59,3.56,3.56,18548896,SIME
2017-07-14,3.57,3.58,3.56,3.57,16998582,SIME
2017-07-17,3.58,3.59,3.55,3.56,15793020,SIME
2017-07-18,3.57,3.57,3.55,3.57,29180002,SIME
2017-07-19,3.55,3.58,3.55,3.57,18348415,SIME
2017-07-20,3.57,3.58,3.57,3.57,28203561,SIME
2017-07-21,3.55,3.57,3.55,3.56,12962198,SIME
2017-07-24,3.56,3.57,3.56,3.57,22678427,SIME
2017-07-25,3.58,3.58,3.56,3.57,12811235,SIME
2017-07-26,3.57,3.57,3.56,3.57,24914765,SIME
2017-07-27,3.57,3.57,3.56,3.56,19556921,SIME
2017-07-28,3.56,3.57,3.55,3.55,32095406,SIME
2017-07-31,3.55,3.55,3.53,3.53,18314957,SIME
2017-08-01,3.55,3.55,3.5,3.5,18235460,SIME
2017-08-02,3.51,3.52,3.49,3.51,33928106,SIME
2017-08-03,3.51,3.52,3.5,3.51,12546515,SIME
2017-08-04,3.52,3.52,3.5,3.51,7004517,SIME
2017-08-07,3.51,3.51,3.5,3.51,6440548,SIME
2017-08-08,3.51,3.52,3.51,3.52,19880260,SIME
2017-08-09,3.51,3.52,3.5,3.52,12206045,SIME
2017-08-10,3.52,3.53,3.5,3.52,6968382,SIME
2017-08-11,3.52,3.52,3.51,3.52,14095758,SIME
2017-08-14,3.52,3.52,3.5,3.51,13285805,SIME
2017-08-15,3.53,3.53,3.5,3.5,8867463,SIME
2017-08-16,3.5,3.5,3.47,3.47,22462421,SIME
2017-08-17,3.46,3.48,3.46,3.47,15748855,SIME
2017-08-18,3.47,3.47,3.44,3.47,8091503,SIME
2017-08-21,3.47,3.47,3.45,3.46,14725038,SIME
2017-08-22,3.47,3.49,3.46,3.48,29827751,SIME
2017-08-23,3.46,3.48,3.46,3.47,11911079,SIME
2017-08-24,3.48,3.48,3.44,3.45,17673097,SIME
2017-08-25,3.43,3.46,3.39,3.41,21391762,SIME
2017-08-28,3.43,3.48,3.4,3.4,19496696,SIME
2017-08-29,3.38,3.4,3.33,3.36,13191051,SIME
2017-08-30,3.35,3.39,3.34,3.36,22667988,SIME
2017-08-31,3.36,3.36,3.36,3.36,0,SIME
2017-09-01,3.36,3.36,3.36,3.36,0,SIME
2017-09-04,3.36,3.36,3.36,3.36,0,SIME
2017-09-05,3.42,3.46,3.35,3.36,19025339,SIME
2017-09-06,3.37,3.41,3.35,3.39,8624691,SIME
2017-09-07,3.38,3.43,3.37,3.37,23858828,SIME
2017-09-08,3.37,3.4,3.37,3.39,13760909,SIME
2017-09-11,3.38,3.42,3.38,3.41,20319230,SIME
2017-09-12,3.41,3.44,3.38,3.41,16393124,SIME
2017-09-13,3.4,3.43,3.39,3.41,20832878,SIME
2017-09-14,3.41,3.42,3.4,3.41,17190765,SIME
2017-09-15,3.42,3.44,3.39,3.44,32128596,SIME
2017-09-18,3.41,3.44,3.41,3.43,9189196,SIME
2017-09-19,3.45,3.45,3.4,3.43,15247251,SIME
2017-09-20,3.45,3.45,3.4,3.41,9921259,SIME
2017-09-21,3.44,3.44,3.41,3.41,19074589,SIME
2017-09-22,3.41,3.41,3.41,3.41,0,SIME
2017-09-25,3.41,3.41,3.39,3.4,7123628,SIME
2017-09-26,3.4,3.43,3.36,3.38,10640474,SIME
2017-09-27,3.39,3.39,3.36,3.37,18030161,SIME
2017-09-28,3.43,3.43,3.36,3.37,15889647,SIME
2017-09-29,3.38,3.38,3.37,3.37,21070297,SIME
2017-10-02,3.37,3.37,3.35,3.36,19682188,SIME
2017-10-03,3.38,3.38,3.36,3.38,21922809,SIME
2017-10-04,3.37,3.38,3.37,3.38,17908909,SIME
2017-10-05,3.38,3.41,3.37,3.38,14444793,SIME
2017-10-06,3.38,3.41,3.38,3.41,17786586,SIME
2017-10-09,3.41,3.42,3.4,3.41,5345264,SIME
2017-10-10,3.41,3.41,3.39,3.41,5000779,SIME
2017-10-11,3.41,3.42,3.38,3.4,21938601,SIME
2017-10-12,3.41,3.41,3.37,3.38,20453865,SIME
2017-10-13,3.33,3.39,3.33,3.38,14583443,SIME
2017-10-16,3.39,3.41,3.38,3.39,10876019,SIME
2017-10-17,3.4,3.4,3.38,3.39,6110517,SIME
2017-10-18,3.39,3.39,3.39,3.39,0,SIME
2017-10-19,3.38,3.39,3.37,3.38,9099796,SIME
2017-10-20,3.37,3.4,3.37,3.38,1788535,SIME
2017-10-23,3.4,3.41,3.37,3.4,13297046,SIME
2017-10-24,3.42,3.44,3.4,3.4,9404934,SIME
2017-10-25,3.4,3.4,3.39,3.39,9336144,SIME
2017-10-26,3.39,3.41,3.37,3.39,7129784,SIME
2017-10-27,3.4,3.44,3.39,3.43,21861246,SIME
2017-10-30,3.44,3.49,3.44,3.46,4993552,SIME
2017-10-31,3.46,3.46,3.39,3.44,17483055,SIME
2017-11-01,3.43,3.43,3.39,3.4,8374157,SIME
2017-11-02,3.4,3.41,3.38,3.39,12423389,SIME
2017-11-03,3.41,3.41,3.39,3.39,8298141,SIME
2017-11-06,3.39,3.41,3.38,3.39,8291449,SIME
2017-11-07,3.4,3.4,3.37,3.38,14066582,SIME
2017-11-08,3.38,3.41,3.37,3.38,16249120,SIME
2017-11-09,3.38,3.4,3.38,3.38,10885923,SIME
2017-11-10,3.39,3.39,3.38,3.39,12440519,SIME
2017-11-13,3.39,3.4,3.38,3.38,37763741,SIME
2017-11-14,3.38,3.39,3.37,3.37,17768921,SIME
2017-11-15,3.37,3.39,3.35,3.36,42405047,SIME
2017-11-16,3.35,3.37,3.33,3.36,38560312,SIME
2017-11-17,3.39,3.4,3.35,3.35,22658352,SIME
2017-11-20,3.36,3.38,3.34,3.36,41383103,SIME
2017-11-21,3.36,3.37,3.35,3.35,19903279,SIME
2017-11-22,3.36,3.36,3.35,3.36,56615099,SIME
2017-11-23,3.36,3.37,3.33,3.34,34880993,SIME
2017-11-24,3.34,3.35,3.32,3.34,98071810,SIME
2017-11-27,3.34,3.34,3.34,3.34,0,SIME
2017-11-28,3.34,3.34,3.34,3.34,0,SIME
2017-11-29,3.34,3.34,3.34,3.34,0,SIME
2017-11-30,2.4,2.55,2.26,2.35,124724000,SIME
2017-12-01,2.35,2.35,2.35,2.35,0,SIME
2017-12-04,2.2,2.35,2.12,2.3,46897500,SIME
2017-12-05,2.25,2.35,2.17,2.25,35185200,SIME
2017-12-06,2.24,2.3,2.18,2.2,51080000,SIME
2017-12-07,2.21,2.26,2.1,2.15,38791600,SIME
2017-12-08,2.17,2.23,2.15,2.18,68108300,SIME
2017-12-11,2.18,2.25,2.09,2.12,27977300,SIME
2017-12-12,2.13,2.14,2.08,2.1,33208700,SIME
2017-12-13,2.11,2.13,2.08,2.1,29059800,SIME
2017-12-14,2.11,2.16,2.08,2.1,38746100,SIME
2017-12-15,2.11,2.13,2.08,2.12,54628200,SIME
2017-12-18,2.12,2.13,2.07,2.11,15890300,SIME
2017-12-19,2.1,2.11,2.04,2.05,29257900,SIME
2017-12-20,2.05,2.09,2.04,2.06,28612000,SIME
2017-12-21,2.08,2.1,2.06,2.09,39282300,SIME
2017-12-22,2.08,2.12,2.07,2.1,12806400,SIME
2017-12-25,2.1,2.1,2.1,2.1,0,SIME
2017-12-26,2.11,2.31,2.11,2.2,35098600,SIME
2017-12-27,2.21,2.27,2.19,2.25,15296900,SIME
2017-12-28,2.26,2.27,2.23,2.23,16650800,SIME
2017-12-29,2.24,2.25,2.21,2.21,18414100,SIME
2018-01-02,2.21,2.23,2.19,2.22,7463700,SIME
2018-01-03,2.21,2.47,2.21,2.41,37804600,SIME
2018-01-04,2.42,2.71,2.42,2.68,24084300,SIME
2018-01-05,2.7,2.96,2.7,2.77,26044700,SIME
2018-01-08,2.8,2.91,2.73,2.79,19817000,SIME
2018-01-09,2.81,2.85,2.64,2.69,35932400,SIME
2018-01-10,2.7,2.83,2.68,2.7,25294000,SIME
2018-01-11,2.75,2.77,2.66,2.74,18219400,SIME
2018-01-12,2.76,2.79,2.68,2.7,17226600,SIME
2018-01-15,2.72,2.75,2.7,2.72,6870400,SIME
2018-01-16,2.71,2.72,2.66,2.71,14477400,SIME
2018-01-17,2.69,2.73,2.67,2.72,14189700,SIME
2018-01-18,2.73,2.76,2.68,2.76,35101400,SIME
2018-01-19,2.76,2.91,2.75,2.8,16973000,SIME
2018-01-22,2.83,2.85,2.78,2.8,9522900,SIME
2018-01-23,2.87,2.91,2.83,2.9,27983900,SIME
2018-01-24,2.88,2.92,2.87,2.89,13700000,SIME
2018-01-25,2.9,2.91,2.87,2.89,10150800,SIME
2018-01-26,2.9,3.01,2.9,2.96,20682300,SIME
2018-01-29,2.98,3.02,2.95,2.99,12036800,SIME
2018-01-30,3.01,3.06,2.94,3.06,17482000,SIME
2018-02-02,3.06,3.06,2.93,2.96,28430300,SIME
2018-02-05,2.93,2.94,2.83,2.93,13126200,SIME
2018-02-06,2.84,2.85,2.66,2.84,33909400,SIME
2018-02-07,2.89,2.97,2.78,2.8,25036500,SIME
2018-02-08,2.83,2.84,2.76,2.76,18816800,SIME
2018-02-09,2.7,2.74,2.68,2.72,24193700,SIME
2018-02-12,2.73,2.78,2.68,2.68,16234900,SIME
2018-02-13,2.7,2.73,2.66,2.68,23032500,SIME
2018-02-14,2.68,2.69,2.61,2.65,19839700,SIME
2018-02-15,2.65,2.68,2.63,2.67,13562900,SIME
2018-02-19,2.67,2.73,2.65,2.71,17255800,SIME
2018-02-20,2.71,2.78,2.7,2.72,28126200,SIME
2018-02-21,2.72,2.82,2.71,2.73,16987200,SIME
2018-02-22,2.72,2.77,2.72,2.75,11759000,SIME
2018-02-23,2.76,2.8,2.73,2.8,14068000,SIME
2018-02-26,2.8,2.82,2.68,2.73,19149500,SIME
2018-02-27,2.74,2.78,2.71,2.75,16791800,SIME
2018-02-28,2.73,2.77,2.71,2.76,28569100,SIME
2018-03-01,2.71,2.76,2.71,2.75,10122000,SIME
2018-03-02,2.73,2.74,2.69,2.69,13788300,SIME
2018-03-05,2.7,2.71,2.62,2.65,8808300,SIME
2018-03-06,2.65,2.67,2.62,2.62,5198400,SIME
2018-03-07,2.62,2.62,2.4,2.6,23216600,SIME
2018-03-08,2.59,2.62,2.54,2.59,19873600,SIME
2018-03-09,2.59,2.63,2.57,2.59,5829300,SIME
2018-03-12,2.59,2.64,2.57,2.64,11111800,SIME
2018-03-13,2.63,2.66,2.62,2.65,6894600,SIME
2018-03-14,2.65,2.66,2.63,2.65,10156700,SIME
2018-03-15,2.64,2.64,2.61,2.62,9519700,SIME
2018-03-16,2.63,2.7,2.61,2.7,26733300,SIME
2018-03-19,2.7,2.7,2.64,2.66,8335400,SIME
2018-03-20,2.63,2.66,2.6,2.6,8167500,SIME
2018-03-21,2.6,2.66,2.6,2.62,10520000,SIME
2018-03-22,2.6,2.65,2.6,2.62,8616600,SIME
2018-03-23,2.58,2.61,2.55,2.55,16932600,SIME
2018-03-26,2.55,2.6,2.52,2.55,8407300,SIME
2018-03-27,2.56,2.67,2.56,2.59,13535500,SIME
2018-03-28,2.58,2.66,2.58,2.62,6875000,SIME
2018-03-29,2.63,2.65,2.56,2.62,10067500,SIME
2018-03-30,2.62,2.66,2.61,2.64,7473000,SIME
2018-04-02,2.66,2.66,2.62,2.64,4171100,SIME
2018-04-03,2.62,2.64,2.59,2.61,8731900,SIME
2018-04-04,2.63,2.64,2.46,2.55,21873900,SIME
2018-04-05,2.55,2.61,2.55,2.6,18819100,SIME
2018-04-06,2.61,2.62,2.58,2.6,6178600,SIME
2018-04-09,2.6,2.63,2.59,2.61,13480400,SIME
2018-04-10,2.61,2.77,2.61,2.74,26755000,SIME
2018-04-11,2.75,2.84,2.71,2.81,23369200,SIME
2018-04-12,2.82,2.82,2.74,2.8,10341000,SIME
2018-04-13,2.78,2.83,2.78,2.8,10529100,SIME
2018-04-16,2.82,2.82,2.75,2.8,5090100,SIME
2018-04-17,2.8,2.8,2.75,2.78,9424000,SIME
2018-04-18,2.79,2.79,2.72,2.79,10243200,SIME
2018-04-19,2.8,2.83,2.78,2.81,23587400,SIME
2018-04-20,2.84,2.85,2.77,2.8,7582400,SIME
2018-04-23,2.8,2.8,2.76,2.78,6488500,SIME
2018-04-24,2.78,2.78,2.68,2.68,9222800,SIME
2018-04-25,2.66,2.66,2.5,2.57,19522900,SIME
2018-04-26,2.57,2.65,2.52,2.55,14291300,SIME
2018-04-27,2.57,2.61,2.55,2.57,6511800,SIME
2018-04-30,2.58,2.67,2.55,2.67,15276600,SIME
2018-05-02,2.65,2.65,2.53,2.61,17066800,SIME
2018-05-03,2.61,2.71,2.6,2.62,22114300,SIME
