date,open,high,low,close,volume,Name
2017-05-31,6.48,6.55,6.48,6.48,6508200,TM
2017-06-01,6.55,6.55,6.45,6.47,2179500,TM
2017-06-02,6.55,6.55,6.47,6.48,977500,TM
2017-06-05,6.48,6.54,6.48,6.52,4294300,TM
2017-06-06,6.5,6.6,6.48,6.55,4201000,TM
2017-06-07,6.53,6.62,6.53,6.58,5109700,TM
2017-06-08,6.58,6.59,6.49,6.49,3359700,TM
2017-06-09,6.43,6.55,6.43,6.53,3977200,TM
2017-06-13,6.53,6.61,6.5,6.55,4024400,TM
2017-06-14,6.52,6.6,6.52,6.57,3713900,TM
2017-06-15,6.5,6.6,6.5,6.55,7013800,TM
2017-06-16,6.55,6.68,6.55,6.65,8462600,TM
2017-06-19,6.6,6.62,6.57,6.62,3948100,TM
2017-06-20,6.63,6.65,6.59,6.61,2768200,TM
2017-06-21,6.63,6.65,6.6,6.65,4644000,TM
2017-06-22,6.65,6.65,6.59,6.6,3515300,TM
2017-06-23,6.56,6.66,6.56,6.62,1921000,TM
2017-06-26,6.64,6.64,6.64,6.64,0,TM
2017-06-27,6.64,6.64,6.64,6.64,0,TM
2017-06-28,6.69,6.69,6.59,6.62,4329100,TM
2017-06-29,6.63,6.63,6.58,6.61,3405100,TM
2017-06-30,6.6,6.65,6.6,6.65,5802700,TM
2017-07-03,6.69,6.69,6.6,6.61,4706000,TM
2017-07-04,6.64,6.65,6.61,6.64,3565600,TM
2017-07-05,6.66,6.66,6.61,6.62,4891300,TM
2017-07-06,6.62,6.62,6.6,6.62,5348400,TM
2017-07-07,6.51,6.59,6.51,6.56,1909400,TM
2017-07-10,6.57,6.57,6.45,6.49,2271200,TM
2017-07-11,6.55,6.55,6.45,6.5,638500,TM
2017-07-12,6.47,6.5,6.45,6.47,2129700,TM
2017-07-13,6.51,6.51,6.43,6.45,1678100,TM
2017-07-14,6.53,6.53,6.39,6.41,4169800,TM
2017-07-17,6.41,6.47,6.38,6.41,3511000,TM
2017-07-18,6.44,6.45,6.4,6.45,3062900,TM
2017-07-19,6.41,6.45,6.38,6.39,3076200,TM
2017-07-20,6.37,6.39,6.33,6.35,1606600,TM
2017-07-21,6.38,6.39,6.31,6.35,1222900,TM
2017-07-24,6.35,6.43,6.31,6.33,574300,TM
2017-07-25,6.36,6.4,6.33,6.38,1478400,TM
2017-07-26,6.41,6.41,6.36,6.37,1309700,TM
2017-07-27,6.44,6.44,6.21,6.27,2296200,TM
2017-07-28,6.31,6.36,6.27,6.33,2209000,TM
2017-07-31,6.31,6.36,6.31,6.36,5844600,TM
2017-08-01,6.36,6.4,6.36,6.39,3685500,TM
2017-08-02,6.39,6.41,6.39,6.4,4131900,TM
2017-08-03,6.4,6.41,6.34,6.39,2315300,TM
2017-08-04,6.4,6.4,6.39,6.4,1011200,TM
2017-08-07,6.41,6.41,6.38,6.4,830500,TM
2017-08-08,6.4,6.42,6.39,6.41,4183300,TM
2017-08-09,6.36,6.42,6.36,6.4,2502900,TM
2017-08-10,6.39,6.41,6.39,6.41,669500,TM
2017-08-11,6.4,6.41,6.36,6.39,1491600,TM
2017-08-14,6.38,6.39,6.36,6.37,613500,TM
2017-08-15,6.39,6.39,6.28,6.37,850800,TM
2017-08-16,6.33,6.37,6.32,6.37,457300,TM
2017-08-17,6.36,6.38,6.33,6.34,1286400,TM
2017-08-18,6.34,6.37,6.3,6.35,622900,TM
2017-08-21,6.35,6.4,6.33,6.35,757700,TM
2017-08-22,6.5,6.5,6.37,6.4,2879700,TM
2017-08-23,6.5,6.5,6.38,6.4,2446500,TM
2017-08-24,6.37,6.43,6.37,6.43,1122400,TM
2017-08-25,6.43,6.45,6.39,6.44,1704500,TM
2017-08-28,6.49,6.49,6.41,6.45,2453900,TM
2017-08-29,6.48,6.48,6.32,6.42,4122800,TM
2017-08-30,6.46,6.46,6.4,6.43,2762700,TM
2017-08-31,6.43,6.43,6.43,6.43,0,TM
2017-09-01,6.43,6.43,6.43,6.43,0,TM
2017-09-04,6.43,6.43,6.43,6.43,0,TM
2017-09-05,6.5,6.5,6.37,6.4,1456700,TM
2017-09-06,6.48,6.48,6.38,6.4,1066100,TM
2017-09-07,6.43,6.43,6.38,6.41,1274000,TM
2017-09-08,6.35,6.45,6.35,6.4,635300,TM
2017-09-11,6.41,6.49,6.41,6.45,903700,TM
2017-09-12,6.4,6.48,6.4,6.43,1624300,TM
2017-09-13,6.48,6.48,6.35,6.41,917600,TM
