date,open,high,low,close,volume,Name
2017-05-31,6.43,6.43,6.1,6.15,6681300,TNB
2017-06-01,6.12,6.18,6.05,6.15,2160300,TNB
2017-06-02,6.13,6.19,6.11,6.19,2365300,TNB
2017-06-03,6.19,6.21,6.15,6.18,3738100,TNB
2017-06-04,6.18,6.19,6.16,6.19,3404300,TNB
2017-06-05,6.18,6.23,6.18,6.2,1894200,TNB
2017-06-06,6.2,6.21,6.17,6.19,1045100,TNB
2017-06-07,6.12,6.19,6.12,6.19,2592400,TNB
2017-06-08,6.14,6.18,6.08,6.14,2844800,TNB
2017-06-09,6.16,6.18,6.08,6.08,2171500,TNB
2017-06-10,6.1,6.12,6.01,6.01,1350400,TNB
2017-06-11,6.04,6.05,5.88,5.88,2719000,TNB
2017-06-12,5.88,5.88,5.88,5.88,0,TNB
2017-06-13,5.64,5.68,5.53,5.62,17576000,TNB
2017-06-14,5.61,5.61,5.53,5.59,8255000,TNB
2017-06-15,5.59,5.6,5.57,5.59,5399200,TNB
2017-06-16,5.6,5.65,5.59,5.64,8559600,TNB
2017-06-17,5.65,5.65,5.65,5.65,0,TNB
2017-06-18,5.65,5.65,5.65,5.65,0,TNB
2017-06-19,5.65,5.65,5.6,5.61,5980100,TNB
2017-06-20,5.6,5.61,5.6,5.61,3701800,TNB
2017-06-21,5.6,5.61,5.55,5.55,10905700,TNB
2017-06-22,5.58,5.58,5.49,5.51,15288700,TNB
2017-06-23,5.51,5.53,5.48,5.49,18011800,TNB
2017-06-24,5.49,5.57,5.49,5.5,6157200,TNB
2017-06-25,5.52,5.53,5.49,5.5,17600400,TNB
2017-06-26,5.5,5.51,5.48,5.49,3290600,TNB
2017-06-27,5.49,5.52,5.48,5.51,2897000,TNB
2017-06-28,5.51,5.54,5.5,5.5,3212000,TNB
2017-06-29,5.5,5.51,5.49,5.51,2651400,TNB
2017-06-30,5.51,5.56,5.5,5.52,8401700,TNB
2017-07-01,5.52,5.52,5.49,5.5,3610300,TNB
2017-07-02,5.51,5.54,5.5,5.53,4267700,TNB
2017-07-03,5.56,5.57,5.54,5.57,3628300,TNB
2017-07-04,5.59,5.59,5.56,5.56,2107000,TNB
2017-07-05,5.56,5.56,5.49,5.53,2681400,TNB
2017-07-06,5.51,5.54,5.49,5.54,5887500,TNB
2017-07-07,5.53,5.56,5.52,5.55,3906700,TNB
2017-07-08,5.55,5.58,5.54,5.56,2934600,TNB
2017-07-09,5.56,5.58,5.55,5.57,2474200,TNB
2017-07-10,5.58,5.63,5.57,5.59,5407300,TNB
2017-07-11,5.6,5.63,5.59,5.62,8348400,TNB
2017-07-12,5.64,5.67,5.62,5.65,8275700,TNB
2017-07-13,5.65,5.76,5.65,5.7,10581300,TNB
2017-07-14,5.74,5.74,5.7,5.73,1118700,TNB
2017-07-15,5.72,5.76,5.72,5.76,1939200,TNB
2017-07-16,5.77,5.77,5.74,5.76,2861500,TNB
2017-07-17,5.75,5.79,5.75,5.79,7304000,TNB
2017-07-18,5.75,5.79,5.74,5.79,6951400,TNB
2017-07-19,5.77,5.79,5.77,5.78,3317500,TNB
2017-07-20,5.78,5.78,5.76,5.78,2351500,TNB
2017-07-21,5.76,5.76,5.64,5.7,6834000,TNB
2017-07-22,5.7,5.76,5.65,5.74,2125600,TNB
2017-07-23,5.75,5.77,5.65,5.75,2414400,TNB
2017-07-24,5.75,5.77,5.73,5.75,2010500,TNB
2017-07-25,5.75,5.77,5.72,5.76,3049300,TNB
2017-07-26,5.77,5.77,5.75,5.76,2192900,TNB
2017-07-27,5.76,5.78,5.75,5.78,1768700,TNB
2017-07-28,5.73,5.79,5.73,5.78,5543000,TNB
2017-07-29,5.79,5.8,5.78,5.78,2806300,TNB
2017-07-30,5.76,5.81,5.75,5.8,1605600,TNB
2017-07-31,5.8,5.82,5.79,5.81,3374400,TNB
2017-08-01,5.8,5.8,5.74,5.74,2036000,TNB
2017-08-02,5.73,5.78,5.71,5.77,3701400,TNB
2017-08-03,5.72,5.83,5.72,5.78,1982500,TNB
2017-08-04,5.78,5.78,5.78,5.78,0,TNB
2017-08-05,5.78,5.78,5.78,5.78,0,TNB
2017-08-06,5.78,5.78,5.78,5.78,0,TNB
2017-08-07,5.85,5.85,5.72,5.73,1675200,TNB
2017-08-08,5.75,5.76,5.73,5.76,1279200,TNB
2017-08-09,5.8,5.8,5.75,5.77,1854800,TNB
2017-08-10,5.8,5.8,5.74,5.79,1564900,TNB
2017-08-11,5.78,5.82,5.78,5.81,3585100,TNB
2017-08-12,5.82,5.82,5.8,5.82,3406700,TNB
2017-08-13,5.84,5.84,5.8,5.8,1002100,TNB
2017-08-14,5.8,5.84,5.78,5.79,1095900,TNB
2017-08-15,5.78,5.78,5.73,5.76,5373500,TNB
2017-08-16,5.73,5.82,5.73,5.74,831000,TNB
2017-08-17,5.74,5.8,5.74,5.76,878900,TNB
2017-08-18,5.77,5.77,5.69,5.72,2180800,TNB
2017-08-19,5.78,5.78,5.71,5.76,1888900,TNB
2017-08-20,5.76,5.76,5.76,5.76,0,TNB
2017-08-21,5.75,5.81,5.75,5.8,3466800,TNB
2017-08-22,5.8,5.8,5.75,5.8,1397000,TNB
2017-08-23,5.79,5.81,5.75,5.8,4161600,TNB
2017-08-24,5.8,5.8,5.77,5.79,2854300,TNB
2017-08-25,5.8,5.8,5.78,5.8,2963600,TNB
2017-08-26,5.8,5.81,5.79,5.81,3560200,TNB
2017-08-27,5.81,5.82,5.74,5.82,2900000,TNB
2017-08-28,5.82,5.85,5.82,5.84,969400,TNB
2017-08-29,5.82,5.86,5.82,5.85,1470200,TNB
2017-08-30,5.85,5.89,5.83,5.89,2053100,TNB
2017-08-31,5.87,5.91,5.86,5.91,1617900,TNB
2017-09-01,5.9,5.91,5.88,5.9,5327200,TNB
2017-09-02,5.92,5.92,5.79,5.85,2793900,TNB
2017-09-03,5.87,5.9,5.86,5.88,3720800,TNB
2017-09-04,5.93,5.93,5.86,5.88,2359900,TNB
2017-09-05,5.91,5.91,5.8,5.84,1950600,TNB
2017-09-06,5.82,5.86,5.76,5.76,5612100,TNB
2017-09-07,5.76,5.76,5.76,5.76,0,TNB
2017-09-08,5.75,5.8,5.7,5.74,3212600,TNB
2017-09-09,5.74,5.74,5.7,5.71,2547400,TNB
2017-09-10,5.71,5.76,5.71,5.75,3253300,TNB
2017-09-11,5.77,5.77,5.74,5.76,3880200,TNB
2017-09-12,5.73,5.82,5.73,5.78,1841500,TNB
2017-09-13,5.82,5.85,5.79,5.82,2509200,TNB
2017-09-14,5.82,5.9,5.82,5.89,4441100,TNB
2017-09-15,5.9,5.94,5.86,5.92,4793600,TNB
2017-09-16,5.95,5.96,5.93,5.95,4107800,TNB
2017-09-17,5.95,5.99,5.95,5.99,3189700,TNB
2017-09-18,5.99,6.01,5.88,6,2148800,TNB
2017-09-19,6.01,6.01,5.98,6,2518600,TNB
2017-09-20,5.97,6.02,5.97,6.01,4313100,TNB
2017-09-21,6,6.03,6,6.02,4364000,TNB
2017-09-22,6.01,6.03,6,6.01,3007500,TNB
2017-09-23,6.01,6.04,5.99,6,2539400,TNB
2017-09-24,6.06,6.06,5.97,5.99,2094100,TNB
2017-09-25,6,6,5.94,5.95,2505300,TNB
2017-09-26,5.99,5.99,5.87,5.95,2663600,TNB
2017-09-27,5.91,5.94,5.82,5.88,3928300,TNB
2017-09-28,5.87,5.95,5.85,5.92,2156100,TNB
2017-09-29,5.95,5.95,5.86,5.93,1204600,TNB
