date,open,high,low,close,volume,Name
2017-05-31,0.89,0.90,0.88,0.88,16307400,TOPGLOV
2017-06-01,0.88,0.90,0.88,0.89,14367000,TOPGLOV
2017-06-02,0.89,0.91,0.89,0.91,5854200,TOPGLOV
2017-06-05,0.90,0.93,0.90,0.92,11526000,TOPGLOV
2017-06-06,0.92,0.92,0.91,0.92,6508200,TOPGLOV
2017-06-07,0.92,0.92,0.90,0.92,20544600,TOPGLOV
2017-06-08,0.92,0.96,0.92,0.96,42202800,TOPGLOV
2017-06-09,0.96,0.99,0.96,0.98,28129200,TOPGLOV
2017-06-13,0.98,0.98,0.97,0.97,10383600,TOPGLOV
2017-06-14,0.97,0.98,0.96,0.97,9031200,TOPGLOV
2017-06-15,0.96,0.97,0.96,0.97,9361200,TOPGLOV
2017-06-16,0.96,0.96,0.93,0.94,27168000,TOPGLOV
2017-06-19,0.93,0.94,0.91,0.92,41895000,TOPGLOV
2017-06-20,0.92,0.93,0.91,0.92,24231000,TOPGLOV
2017-06-21,0.93,0.94,0.92,0.93,30297600,TOPGLOV
2017-06-22,0.94,0.95,0.94,0.94,7642200,TOPGLOV
2017-06-23,0.95,0.95,0.94,0.94,8671200,TOPGLOV
2017-06-26,0.94,0.94,0.94,0.94,0,TOPGLOV
2017-06-27,0.95,0.95,0.95,0.95,0,TOPGLOV
2017-06-28,0.95,0.96,0.95,0.96,18404400,TOPGLOV
2017-06-29,0.97,0.97,0.96,0.96,17568600,TOPGLOV
2017-06-30,0.96,0.96,0.95,0.96,10403400,TOPGLOV
2017-07-03,0.95,0.96,0.95,0.95,10671600,TOPGLOV
2017-07-04,0.95,0.97,0.95,0.96,4965000,TOPGLOV
2017-07-05,0.96,0.97,0.95,0.96,13218000,TOPGLOV
2017-07-06,0.96,0.97,0.94,0.97,4740000,TOPGLOV
2017-07-07,0.94,0.95,0.93,0.94,7225200,TOPGLOV
2017-07-10,0.94,0.94,0.92,0.93,9272400,TOPGLOV
2017-07-11,0.94,0.94,0.93,0.94,4352400,TOPGLOV
2017-07-12,0.94,0.94,0.93,0.94,7967400,TOPGLOV
2017-07-13,0.94,0.95,0.94,0.94,5277600,TOPGLOV
2017-07-14,0.94,0.95,0.94,0.94,1851600,TOPGLOV
2017-07-17,0.94,0.95,0.94,0.95,5636400,TOPGLOV
2017-07-18,0.94,0.96,0.94,0.96,5727600,TOPGLOV
2017-07-19,0.95,0.95,0.94,0.95,5546400,TOPGLOV
2017-07-20,0.95,0.95,0.95,0.95,3784200,TOPGLOV
2017-07-21,0.95,0.96,0.93,0.96,9408600,TOPGLOV
2017-07-24,0.96,0.96,0.94,0.95,1509600,TOPGLOV
2017-07-25,0.95,0.96,0.95,0.95,2614200,TOPGLOV
2017-07-26,0.95,0.96,0.94,0.96,7806600,TOPGLOV
2017-07-27,0.96,0.96,0.95,0.96,4977000,TOPGLOV
2017-07-28,0.96,0.96,0.95,0.96,4584000,TOPGLOV
2017-07-31,0.96,0.96,0.94,0.96,5592600,TOPGLOV
2017-08-01,0.96,0.97,0.95,0.96,10573200,TOPGLOV
2017-08-02,0.96,0.97,0.95,0.96,5088600,TOPGLOV
2017-08-03,0.96,0.96,0.94,0.95,4058400,TOPGLOV
2017-08-04,0.95,0.97,0.95,0.96,14982000,TOPGLOV
2017-08-07,0.95,0.96,0.94,0.94,2888400,TOPGLOV
2017-08-08,0.95,0.95,0.94,0.95,9113400,TOPGLOV
2017-08-09,0.95,0.96,0.95,0.95,10588800,TOPGLOV
2017-08-10,0.96,0.96,0.94,0.94,5745600,TOPGLOV
2017-08-11,0.95,0.95,0.93,0.94,5321400,TOPGLOV
2017-08-14,0.94,0.94,0.93,0.94,5356800,TOPGLOV
2017-08-15,0.94,0.95,0.93,0.94,4710600,TOPGLOV
2017-08-16,0.94,0.95,0.94,0.95,19798800,TOPGLOV
2017-08-17,0.95,0.95,0.94,0.95,20151600,TOPGLOV
2017-08-18,0.95,0.95,0.94,0.95,7563600,TOPGLOV
2017-08-21,0.95,0.95,0.93,0.93,2785200,TOPGLOV
2017-08-22,0.94,0.94,0.93,0.93,7274400,TOPGLOV
2017-08-23,0.93,0.94,0.93,0.94,4622400,TOPGLOV
